+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 10-03-2019_11-01-55

	normalVector array

-1 -0 
0 1 
-1 -0 
0 -1 
0 1 
-1 -0 
-0.706342 -0.70787 
0 1 
-1 -0 
0 -1 
0 -1 
0 1 
1 -0 
1 -0 
0 -1 
-0.6981 0.716 
-1 -0 
-0.388325 -0.921523 
-0.566115 0.824326 
-1 -0 
-0.432867 -0.901458 
-1 -0 
-0.486482 -0.873691 
-0.513383 0.85816 
-0.498219 0.867051 
-1 -0 
-0.506053 -0.862503 
-1 -0 
-0.506832 -0.862045 
-0.49226 0.870448 
-0.491738 0.870743 
-1 -0 
-0.504352 -0.863498 
-1 -0 
-0.502137 -0.864788 
-0.493758 0.869599 
-0.495442 0.868641 
-1 -0 
-0.499731 -0.866181 
-1 -0 
-0.497126 -0.867678 
-0.495837 0.868416 
-0.49563 0.868534 
-1 -0 
-0.494493 -0.869182 
-1 -0 
-0.492775 -0.870157 
-0.49539 0.868671 
-0.495862 0.868401 
-1 -0 
-0.49295 -0.870058 
-1 -0 
-0.494818 -0.868997 
-0.497135 0.867673 
-0.49831 0.866999 
-1 -0 
-0.49737 -0.867538 
-1 -0 
-0.499558 -0.866281 
-0.498669 0.866793 
-0.49756 0.86743 
-1 -0 
-0.500789 -0.865569 
-1 -0 
-0.501175 -0.865346 
-0.495795 0.86844 
-0.493489 0.869752 
-1 -0 
-0.500562 -0.8657 
-1 -0 
-0.500426 -0.865779 
-0.492482 0.870323 
-0.490954 0.871186 
-1 -0 
-0.500062 -0.86599 
-1 -0 
-0.500389 -0.865801 
-0.491089 0.871109 
-0.49052 0.87143 
-1 -0 
-0.50033 -0.865835 
-1 -0 
-0.500602 -0.865677 
-0.491355 0.870959 
-0.491527 0.870863 
-1 -0 
-0.500316 -0.865843 
-1 -0 
-0.50047 -0.865754 
-0.492933 0.870067 
-0.493484 0.869755 
-1 -0 
-0.500303 -0.86585 
-1 -0 
-0.500659 -0.865645 
-0.495012 0.868886 
-0.495465 0.868628 
-1 -0 
-0.500861 -0.865528 
-1 -0 
-0.501591 -0.865105 
-0.495867 0.868399 
-0.494002 0.869461 
-1 -0 
-0.501918 -0.864915 
-1 -0 
-0.503026 -0.864271 
-0.491441 0.870911 
-0.486386 0.873744 
-1 -0 
-0.504643 -0.863328 
-1 -0 
-0.509044 -0.860741 
-0.482243 0.876038 
-0.478233 0.878233 
-1 -0 
-0.515801 -0.856709 
-1 -0 
-0.52251 -0.852633 
-0.476323 0.87927 
-0.479464 0.877562 
-1 -0 
-0.521418 -0.853302 
-1 -0 
-0.489021 -0.872272 
-0.511339 0.859379 
-0.528543 0.848907 
-1 -0 
-0.377492 -0.926013 
-0.6981 -0.716 
-0.0695984 -0.997575 
-0.613228 0.789906 
0.698091 0.716009 
0 1 
-0.918088 0.396376 
0.816938 0.576726 
0.908457 -0.417978 
0 1 
0 1 
-0.887714 0.460396 
0.86051 0.509433 
0.869882 0.49326 
0.869922 -0.493189 
0 1 
0 1 
-0.862023 0.506869 
0.869122 0.494597 
0.865924 0.500175 
0 1 
-0.860867 0.508831 
0 1 
-0.861914 0.507054 
0.861483 0.507787 
0.856209 0.51663 
0 1 
-0.863656 0.504081 
0 1 
-0.867113 0.498112 
0.851099 0.525005 
0.851549 0.524275 
0 1 
-0.87955 0.475806 
0 1 
-0.917126 0.398597 
0.852204 0.523209 
0.786654 0.617395 
-0.996038 0.0889333 
0.698091 -0.716009 
-1 -0 
0.392454 0.919772 
-0.707107 -0.707107 
-0.604309 0.79675 
-0.0962354 -0.995359 
0.564388 -0.825509 
-1 -0 
0.436579 0.899666 
-0.406487 -0.913656 
-0.500133 0.865948 
-1 -0 
0.489005 0.872281 
0.520275 -0.853999 
-0.476292 -0.879287 
-0.487832 0.872937 
0.515589 -0.856836 
-1 -0 
0.502932 0.864326 
-0.490253 -0.87158 
-0.484829 0.874609 
-1 -0 
0.49326 0.869882 
0.509961 -0.860197 
-0.493721 -0.86962 
-0.48869 0.872457 
0.505305 -0.862941 
-1 -0 
0.488103 0.872786 
-0.495024 -0.868879 
-0.489671 0.871907 
-1 -0 
0.487638 0.873046 
0.502367 -0.864654 
-0.496349 -0.868123 
-0.491554 0.870847 
0.499185 -0.866495 
-1 -0 
0.489861 0.8718 
-0.498031 -0.867159 
-0.494509 0.869173 
-1 -0 
0.491625 0.870807 
0.495433 -0.868646 
-0.499299 -0.86643 
-0.497299 0.867579 
0.492221 -0.87047 
-1 -0 
0.492932 0.870068 
-0.499897 -0.866085 
-0.499315 0.866421 
-1 -0 
0.49443 0.869217 
0.490744 -0.871304 
-0.500015 -0.866017 
-0.500384 0.865803 
0.489856 -0.871804 
-1 -0 
0.49633 0.868134 
-0.499984 -0.866035 
-0.5007 0.865621 
-1 -0 
0.498119 0.867109 
0.490258 -0.871577 
-0.4999 -0.866083 
-0.500592 0.865683 
0.490151 -0.871637 
-1 -0 
0.499249 0.866458 
-0.499892 -0.866088 
-0.500405 0.865791 
-1 -0 
0.500226 0.865895 
0.491176 -0.871061 
-0.499905 -0.86608 
-0.500169 0.865928 
0.490755 -0.871298 
-1 -0 
0.500316 0.865843 
-0.499969 -0.866043 
-0.500061 0.86599 
-1 -0 
0.500581 0.86569 
0.49164 -0.870799 
-0.499961 -0.866048 
-0.500011 0.866019 
0.492003 -0.870594 
-1 -0 
0.500262 0.865874 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.500582 0.865689 
0.493477 -0.869759 
-0.500011 -0.866019 
-0.500011 0.866019 
0.494592 -0.869125 
-1 -0 
0.500711 0.865614 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.501585 0.865108 
0.497114 -0.867685 
-0.500011 -0.866019 
-0.500011 0.866019 
0.499185 -0.866496 
-1 -0 
0.502448 0.864607 
-0.500011 -0.866019 
-0.499982 0.866036 
-1 -0 
0.503426 0.864039 
0.501047 -0.86542 
-0.499982 -0.866036 
-0.499953 0.866052 
0.501522 -0.865145 
-1 -0 
0.503305 0.864109 
-0.499953 -0.866052 
-0.499924 0.866069 
-1 -0 
0.502289 0.8647 
0.501002 -0.865446 
-0.499924 -0.866069 
-0.499867 0.866102 
0.499987 -0.866033 
-1 -0 
0.500545 0.86571 
-0.499867 -0.866102 
-0.49968 0.86621 
-1 -0 
0.498801 0.866717 
0.499245 -0.866461 
-0.49988 -0.866095 
-0.499394 0.866375 
0.498801 -0.866717 
-1 -0 
0.497611 0.8674 
-0.499993 -0.866029 
-0.499015 0.866594 
-1 -0 
0.497102 0.867692 
0.49821 -0.867056 
-0.500314 -0.865844 
-0.49845 0.866919 
0.497002 -0.867749 
-1 -0 
0.496992 0.867755 
-0.501049 -0.865419 
-0.497806 0.867288 
-1 -0 
0.497868 0.867253 
0.494599 -0.869121 
-0.502206 -0.864748 
-0.497017 0.867741 
0.491889 -0.870658 
-1 -0 
0.500408 0.86579 
-0.503619 -0.863926 
-0.495851 0.868408 
-1 -0 
0.504976 0.863133 
0.487759 -0.872978 
-0.505054 -0.863088 
-0.494016 0.869453 
0.48257 -0.875857 
-1 -0 
0.510814 0.859691 
-0.506619 -0.86217 
-0.49165 0.870793 
-1 -0 
0.515466 0.85691 
0.476457 -0.879198 
-0.509257 -0.860615 
-0.490322 0.871541 
0.477052 -0.878875 
-1 -0 
0.513705 0.857967 
-0.510932 -0.859621 
-0.491114 0.871096 
-1 -0 
0.483522 0.875332 
0.508771 -0.860902 
-0.499987 -0.866033 
-0.490663 0.871349 
0.526682 -0.850063 
-1 -0 
0.375091 0.926988 
-0.476141 -0.879369 
-0.490665 0.871348 
0.0694732 0.997584 
0.611921 -0.790919 
-0.526163 -0.850384 
-0.428246 0.903662 
0 -1 
0.919061 -0.394115 
-0.815801 -0.578332 
-0.909639 0.4154 
0 -1 
0 -1 
0.888316 -0.459233 
-0.859694 -0.510809 
-0.871039 -0.491213 
0 -1 
0.870409 -0.492329 
0 -1 
0.862498 -0.50606 
-0.872691 -0.488272 
-0.871486 -0.49042 
0 -1 
0.862101 -0.506736 
0 -1 
0.864412 -0.502784 
-0.86783 -0.496862 
-0.861808 -0.507235 
0 -1 
0.86738 -0.497646 
0 -1 
0.872606 -0.488424 
-0.858296 -0.513154 
-0.859321 -0.511437 
0 -1 
0.884835 -0.465904 
0 -1 
0.919116 -0.393987 
-0.856845 -0.515574 
-0.789598 -0.613624 
0.995943 -0.0899817 
0.707107 0.707107 
0 1 
-0.916905 0.399106 
0.819904 0.572501 
0.897188 -0.44165 
0 1 
0 1 
-0.868227 0.496168 
0.854397 0.519621 
0.86243 0.506176 
0 1 
-0.855524 0.517764 
0 1 
-0.855567 0.517691 
0.86622 0.499663 
0.867983 0.496594 
0.859174 -0.511683 
0 1 
0 1 
-0.863174 0.504906 
0.868526 0.495644 
0.867922 0.496701 
0 1 
-0.865413 0.50106 
0 1 
-0.866369 0.499404 
0.867257 0.497861 
0.8666 0.499004 
0 1 
-0.866491 0.499192 
0 1 
-0.866313 0.499501 
0.866146 0.499792 
0.866025 0.500001 
0 1 
-0.866127 0.499824 
0 1 
-0.866036 0.499982 
0.866011 0.500024 
0.866036 0.499982 
0 1 
-0.866036 0.499982 
0 1 
-0.866052 0.499953 
0.866036 0.499982 
0.866052 0.499953 
0 1 
-0.866069 0.499924 
0 1 
-0.866081 0.499903 
0.866069 0.499924 
0.866024 0.500003 
0 1 
-0.866081 0.499903 
0 1 
-0.866065 0.499932 
0.866024 0.500003 
0.866007 0.500032 
0 1 
-0.866036 0.499982 
0 1 
-0.866036 0.499982 
0.866036 0.499982 
0.866036 0.499982 
0 1 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0.866019 0.500011 
0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0.866019 0.500011 
0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0.866019 0.500011 
0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0.866019 0.500011 
0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0.866019 0.500011 
