+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 25-07-2019_23-51-29

	normalVector array

-3.8376e-13 -1 
-0.999968 0.00804003 
0.99997 -0.00768479 
0.698181 0.715922 
-1.25674e-12 -1 
1 1.02771e-12 
0.673477 0.739208 
0.00768479 -0.99997 
1 -2.81531e-14 
-0.034735 0.999397 
0.695465 0.71856 
1 -0 
0.647459 -0.7621 
0.0681693 0.997674 
0.454263 0.890868 
1 -0 
0.506877 -0.862018 
0.53178 0.846882 
1 -0 
0.446669 -0.894699 
0.547039 0.837107 
1 -0 
0.429072 -0.90327 
0.559864 0.828584 
1 -0 
0.418344 -0.908289 
0.586934 0.809635 
1 -0 
0.390052 -0.920793 
0.631809 0.775124 
1 -0 
0.304653 -0.952464 
0.582847 0.812582 
1 -0 
0.304326 -0.952568 
0.456089 0.889934 
1 -0 
0.733176 -0.680039 
-0.257585 0.966256 
1 -0 
0.621735 -0.783228 
-0.211604 -0.977356 
0.411606 0.911362 
1 -0 
0.570934 -0.820996 
0.488302 0.872675 
1 -0 
0.551759 -0.834004 
0.521312 0.853366 
1 -0 
0.55051 -0.834829 
0.538522 0.842612 
1 -0 
0.554513 -0.832175 
0.547356 0.8369 
1 -0 
0.557632 -0.830088 
0.552532 0.833492 
1 -0 
0.559136 -0.829076 
0.556342 0.830953 
1 -0 
0.559457 -0.828859 
0.559214 0.829023 
1 -0 
0.559785 -0.828638 
0.561122 0.827733 
1 -0 
0.559753 -0.82866 
0.561819 0.82726 
1 -0 
0.559165 -0.829057 
0.561352 0.827577 
1 -0 
0.557824 -0.829959 
0.561105 0.827745 
1 -0 
0.556275 -0.830998 
0.562108 0.827064 
1 -0 
0.559895 -0.828564 
0.556858 0.830608 
1 -0 
0.565891 -0.82448 
0.553133 0.833093 
1 -0 
0.566201 -0.824267 
0.549921 0.835217 
1 -0 
0.564141 -0.825678 
0.547506 0.836802 
1 -0 
0.563606 -0.826044 
0.547091 0.837073 
1 -0 
0.564126 -0.825689 
0.547249 0.83697 
1 -0 
0.5654 -0.824817 
0.548275 0.836298 
1 -0 
0.567209 -0.823574 
0.55044 0.834874 
1 -0 
0.568616 -0.822603 
0.553911 0.832576 
1 -0 
0.56893 -0.822386 
0.557625 0.830093 
1 -0 
0.568565 -0.822638 
0.560539 0.828128 
1 -0 
0.567925 -0.82308 
0.562697 0.826663 
1 -0 
0.567111 -0.823641 
0.563949 0.82581 
1 -0 
0.566438 -0.824104 
0.564857 0.825189 
1 -0 
0.565917 -0.824462 
0.565309 0.824879 
1 -0 
0.565625 -0.824663 
0.565382 0.824829 
1 -0 
0.565586 -0.82469 
0.565464 0.824773 
1 -0 
0.565423 -0.824801 
0.565423 0.824801 
1 -0 
0.565404 -0.824814 
0.565526 0.824731 
1 -0 
0.565447 -0.824785 
0.565568 0.824702 
1 -0 
0.565353 -0.824849 
0.565596 0.824682 
1 -0 
0.565461 -0.824775 
0.565582 0.824692 
1 -0 
0.565381 -0.82483 
0.565624 0.824663 
1 -0 
0.565547 -0.824716 
0.565669 0.824632 
1 -0 
0.565385 -0.824827 
0.56575 0.824577 
1 -0 
0.565131 -0.825001 
0.56586 0.824501 
1 -0 
0.565077 -0.825038 
0.566172 0.824287 
1 -0 
0.564633 -0.825342 
0.566579 0.824007 
1 -0 
0.563881 -0.825856 
0.567407 0.823437 
1 -0 
0.562323 -0.826918 
0.568767 0.822498 
1 -0 
0.559336 -0.828941 
0.571254 0.820774 
1 -0 
0.554312 -0.832309 
0.575591 0.817738 
1 -0 
0.5453 -0.838241 
0.582633 0.812735 
1 -0 
0.530079 -0.847948 
0.594072 0.804412 
1 -0 
0.504785 -0.863245 
0.61279 0.790246 
1 -0 
0.462611 -0.886561 
0.641664 0.766986 
1 -0 
0.390993 -0.920394 
0.683661 0.7298 
1 -0 
0.304164 -0.95262 
0.52627 0.850317 
1 -0 
0.387314 -0.921948 
1 -0 
0.421166 -0.906984 
0.427594 0.903971 
0.367943 0.929848 
1 -0 
0.473173 -0.88097 
0.420275 0.907397 
1 -0 
0.538195 -0.84282 
0.498145 0.867094 
1 -0 
0.477857 -0.878437 
0.476144 0.879367 
1 -0 
0.507101 -0.861887 
0.495819 0.868426 
1 -0 
0.483132 -0.875548 
0.520871 0.853636 
1 -0 
0.45364 -0.891185 
0.491534 0.870858 
1 -0 
0.509599 -0.860412 
0.502164 0.864772 
1 -0 
0.498362 -0.866969 
0.500292 0.865857 
1 -0 
0.494267 -0.86931 
0.497157 0.86766 
1 -0 
0.472454 -0.881355 
