+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 10-03-2019_02-39-41

	normalVector array

-0.0149765 0.999888 
1 -2.42861e-13 
0 -1 
-0.99999 0.0044928 
0.0201122 -0.999798 
-0.783809 -0.621001 
1 6.59051e-13 
0.999798 -0.0201122 
-7.2935e-13 -1 
0.702346 -0.711836 
0.998171 -0.0604605 
0.661599 0.749857 
0.0586427 -0.998279 
0.360885 -0.93261 
-0.58931 -0.807907 
0.994943 -0.100438 
0.990076 -0.140535 
0.585756 0.810487 
0.438871 -0.89855 
0.399152 -0.916885 
0.983618 -0.180266 
0.59528 0.803518 
0.975558 -0.219743 
0.659106 0.75205 
0.346287 -0.938129 
0.303403 -0.952862 
0.965949 -0.258732 
0.707838 0.706375 
0.954697 -0.297579 
0.743767 0.668439 
0.264359 -0.964424 
0.227662 -0.97374 
0.941969 -0.335699 
0.773248 0.634104 
0.927701 -0.373325 
0.799314 0.600914 
0.191478 -0.981497 
0.154372 -0.988013 
0.911891 -0.410433 
0.823015 0.56802 
0.894628 -0.446811 
0.845291 0.534306 
0.116138 -0.993233 
0.0770917 -0.997024 
0.875926 -0.482446 
0.865743 0.500489 
0.855779 -0.517341 
0.884915 0.465752 
0.0374161 -0.9993 
-0.00269023 -0.999996 
0.834278 -0.551344 
0.902868 0.429919 
0.811369 -0.584534 
0.919251 0.393672 
-0.0422807 -0.999106 
-0.082346 -0.996604 
0.787175 -0.61673 
0.934425 0.356161 
0.761731 -0.647893 
0.947886 0.318611 
-0.121716 -0.992565 
-0.161387 -0.986891 
0.734965 -0.678105 
0.95999 0.280034 
0.707107 -0.707107 
0.970413 0.24145 
-0.200771 -0.979638 
-0.240395 -0.970675 
0.678105 -0.734965 
0.979299 0.202419 
0.647893 -0.761731 
0.986645 0.162883 
-0.279351 -0.960189 
-0.318147 -0.948041 
0.61673 -0.787175 
0.992413 0.122947 
0.584534 -0.811369 
0.996544 0.0830667 
-0.355958 -0.934502 
-0.393827 -0.919185 
0.551344 -0.834278 
0.999091 0.0426371 
0.517341 -0.855779 
0.999997 0.00255983 
-0.430291 -0.90269 
-0.466506 -0.884518 
0.482446 -0.875926 
0.999294 -0.03756 
0.446811 -0.894628 
0.997009 -0.0772833 
-0.50153 -0.86514 
-0.535255 -0.84469 
0.410433 -0.911891 
0.993212 -0.116321 
0.373325 -0.927701 
0.988054 -0.154108 
-0.568387 -0.822761 
-0.599508 -0.800369 
0.335699 -0.941969 
0.981665 -0.190616 
0.297579 -0.954697 
0.974404 -0.224806 
-0.628883 -0.7775 
-0.654863 -0.755748 
0.258732 -0.965949 
0.966031 -0.258426 
0.219743 -0.975558 
0.957419 -0.288701 
-0.679563 -0.733617 
-0.70205 -0.712128 
0.180266 -0.983618 
0.948187 -0.317712 
0.140535 -0.990076 
0.940849 -0.338826 
-0.728466 -0.685082 
-0.756849 -0.65359 
0.100438 -0.994943 
0.937278 -0.348582 
0.0604605 -0.998171 
0.941669 -0.336541 
-0.783723 -0.62111 
-0.794838 -0.606821 
0.969143 -0.2465 
0 -1 
-0.940477 -0.339857 
0.812558 -0.58288 
0 -1 
-0.932258 -0.361795 
0.854598 -0.519291 
0 -1 
-0.916449 -0.400152 
0.871565 -0.490279 
0 -1 
-0.905197 -0.424993 
0.880238 -0.474533 
0 -1 
-0.897975 -0.440047 
0.884894 -0.465792 
0 -1 
-0.893485 -0.449093 
0.887211 -0.461363 
0 -1 
-0.890648 -0.454694 
0.888326 -0.459213 
0 -1 
-0.888943 -0.458018 
0.888849 -0.458199 
0 -1 
-0.888001 -0.459842 
0.889123 -0.457668 
0 -1 
-0.88751 -0.460788 
0.889289 -0.457346 
0 -1 
-0.887298 -0.461196 
0.889359 -0.45721 
0 -1 
-0.887136 -0.461508 
0.889478 -0.456978 
0 -1 
-0.886985 -0.461799 
0.8897 -0.456545 
0 -1 
-0.88671 -0.462326 
0.890265 -0.455443 
0 -1 
-0.886215 -0.463275 
0.89144 -0.453138 
0 -1 
-0.885361 -0.464905 
0.893534 -0.448996 
0 -1 
-0.883972 -0.467539 
0.896788 -0.44246 
0 -1 
-0.881577 -0.472041 
0.901572 -0.43263 
0 -1 
-0.877654 -0.479294 
0.908063 -0.418834 
0 -1 
-0.871968 -0.489564 
0.915007 -0.403439 
0 -1 
-0.865295 -0.501262 
0.914278 -0.405086 
0 -1 
-0.862872 -0.505423 
0.888271 -0.459319 
0 -1 
-0.894093 -0.447881 
0.794456 -0.607321 
-0.709261 -0.704946 
-0.994299 -0.106625 
0.701225 0.71294 
-0.0450541 0.998985 
-0.932868 0.360219 
0.731237 0.682124 
0.968127 -0.250461 
-0.0750071 0.997183 
-0.104587 0.994516 
-0.96524 0.261365 
0.762919 0.646494 
0.778209 0.628006 
-0.134163 0.990959 
-0.959728 0.280932 
-0.163245 0.986586 
-0.955962 0.29349 
0.766272 0.642516 
0.74887 0.662717 
-0.192073 0.981381 
-0.960593 0.277959 
-0.220407 0.975408 
-0.969526 0.244988 
0.736446 0.676496 
0.723129 0.690713 
-0.248354 0.968669 
-0.975805 0.218643 
-0.27569 0.961247 
-0.980078 0.198611 
0.707059 0.707154 
0.69008 0.723733 
-0.302405 0.95318 
-0.983945 0.17847 
-0.328609 0.944466 
-0.98697 0.160905 
0.671891 0.74065 
0.654405 0.756144 
-0.354211 0.935165 
-0.99007 0.140574 
-0.379017 0.92539 
-0.992956 0.118487 
0.635676 0.771956 
0.616473 0.787376 
-0.403358 0.915042 
-0.995449 0.0952959 
-0.42668 0.904403 
-0.997446 0.0714218 
0.596626 0.802519 
0.575831 0.817569 
-0.449558 0.893251 
-0.998871 0.0475125 
-0.471605 0.88181 
-0.999705 0.0243048 
0.554615 0.832107 
0.532732 0.846284 
-0.493085 0.869981 
-0.999998 0.00185597 
-0.513725 0.857955 
-0.999798 -0.0200827 
0.510619 0.859807 
0.489437 0.872039 
-0.533674 0.845691 
-0.999096 -0.0425173 
-0.552942 0.83322 
-0.997847 -0.0655827 
0.469352 0.883011 
0.450135 0.89296 
-0.571635 0.820508 
-0.995998 -0.0893781 
-0.589425 0.807823 
-0.993673 -0.112312 
0.431219 0.902247 
0.411821 0.911265 
-0.606787 0.794864 
-0.99093 -0.134382 
-0.6234 0.781903 
-0.98788 -0.155222 
0.392446 0.919775 
0.372878 0.92788 
-0.639362 0.768906 
-0.984508 -0.175339 
-0.654821 0.755784 
-0.980836 -0.194835 
0.353609 0.935393 
0.33413 0.942527 
-0.66953 0.742785 
-0.976856 -0.213899 
-0.683833 0.729638 
-0.972561 -0.232649 
0.315339 0.948979 
0.296593 0.955004 
-0.697559 0.716527 
-0.968008 -0.250919 
-0.710655 0.703541 
-0.963234 -0.268663 
0.278325 0.960487 
0.260062 0.965592 
-0.72339 0.69044 
-0.958271 -0.285863 
-0.735468 0.677559 
-0.953158 -0.302474 
0.242477 0.970157 
0.224914 0.974379 
-0.747148 0.664658 
-0.947852 -0.318712 
-0.758384 0.651808 
-0.94237 -0.334573 
0.207906 0.978149 
0.190923 0.981605 
-0.769131 0.639091 
-0.936756 -0.349984 
-0.779515 0.626383 
-0.930965 -0.365109 
0.174513 0.984655 
0.158106 0.987422 
-0.78944 0.613828 
-0.925049 -0.379847 
-0.799056 0.601257 
-0.919004 -0.394248 
0.142393 0.98981 
0.126323 0.991989 
-0.808147 0.58898 
-0.912864 -0.408263 
-0.817051 0.576566 
-0.906588 -0.422017 
0.111207 0.993797 
0.0957337 0.995407 
-0.825445 0.564483 
-0.90027 -0.435331 
-0.833621 0.552336 
-0.893832 -0.448403 
0.0809824 0.996716 
0.0662309 0.997804 
-0.841507 0.540247 
-0.887304 -0.461185 
-0.848965 0.52845 
-0.880797 -0.473494 
0.0518492 0.998655 
0.0377184 0.999288 
-0.856202 0.516641 
-0.874151 -0.485653 
-0.863144 0.504957 
-0.867433 -0.497553 
0.0239415 0.999713 
0.0101732 0.999948 
-0.869844 0.493327 
-0.860702 -0.509109 
-0.876245 0.481866 
-0.853961 -0.520336 
-0.00310134 0.999995 
-0.0165031 0.999864 
-0.882415 0.470472 
-0.847175 -0.531313 
-0.888305 0.459253 
-0.840368 -0.542017 
-0.0294063 0.999568 
-0.042317 0.999104 
-0.894052 0.447962 
-0.833535 -0.552467 
-0.89951 0.436901 
-0.826747 -0.562575 
-0.0546107 0.998508 
-0.0672853 0.997734 
-0.904737 0.425971 
-0.819756 -0.572713 
-0.909784 0.415081 
-0.812894 -0.582411 
-0.079316 0.99685 
-0.0914984 0.995805 
-0.914659 0.404227 
-0.8059 -0.592052 
-0.919339 0.393467 
-0.798897 -0.601468 
-0.103289 0.994651 
-0.11535 0.993325 
-0.923792 0.382896 
-0.791899 -0.610652 
-0.92808 0.37238 
-0.784911 -0.619608 
-0.127045 0.991897 
-0.138743 0.990328 
-0.932241 0.361838 
-0.777915 -0.628369 
-0.936175 0.351534 
-0.771004 -0.63683 
-0.149835 0.988711 
-0.161033 0.986949 
-0.93999 0.341202 
-0.763867 -0.645374 
-0.943638 0.330979 
-0.756647 -0.653824 
-0.171687 0.985152 
-0.182316 0.98324 
-0.947124 0.320867 
-0.749276 -0.662258 
-0.95049 0.310756 
-0.742009 -0.67039 
-0.19275 0.981248 
-0.203246 0.979128 
