+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) time
  
Points
NumberOfEntities 319
{
1 50 50 0 
2 50 -50 0 
3 -50 50 0 
4 -50 -50 0 
5 -50 -40 0 
6 -50 -30 0 
7 -50 -20 0 
8 -50 -10 0 
9 -50 4.9738e-13 0 
10 -50 10 0 
11 -50 20 0 
12 -50 30 0 
13 -50 40 0 
14 -40 -50 0 
15 -30 -50 0 
16 -20 -50 0 
17 -10 -50 0 
18 4.9738e-13 -50 0 
19 10 -50 0 
20 20 -50 0 
21 30 -50 0 
22 40 -50 0 
23 50 -40 0 
24 50 -30 0 
25 50 -20 0 
26 50 -10 0 
27 50 4.9738e-13 0 
28 50 10 0 
29 50 20 0 
30 50 30 0 
31 50 40 0 
32 -40 50 0 
33 -30 50 0 
34 -20 50 0 
35 -10 50 0 
36 4.9738e-13 50 0 
37 10 50 0 
38 20 50 0 
39 30 50 0 
40 40 50 0 
41 -48.6562 48.6562 0 
42 -48.6562 38.925 0 
43 -48.6562 29.1937 0 
44 -48.6562 19.4625 0 
45 -48.6562 9.73124 0 
46 -48.6562 4.84251e-13 0 
47 -48.6562 -9.73124 0 
48 -48.6562 -19.4625 0 
49 -48.6562 -29.1937 0 
50 -48.6562 -38.925 0 
51 -48.6562 -48.6562 0 
52 -47.0436 47.0436 0 
53 -47.0436 37.6349 0 
54 -47.0436 28.2262 0 
55 -47.0436 18.8175 0 
56 -47.0436 9.40873 0 
57 -47.0436 4.68496e-13 0 
58 -47.0436 -9.40873 0 
59 -47.0436 -18.8175 0 
60 -47.0436 -28.2262 0 
61 -47.0436 -37.6349 0 
62 -47.0436 -47.0436 0 
63 -45.1086 45.1086 0 
64 -45.1086 36.0869 0 
65 -45.1086 27.0651 0 
66 -45.1086 18.0434 0 
67 -45.1086 9.02172 0 
68 -45.1086 4.49591e-13 0 
69 -45.1086 -9.02172 0 
70 -45.1086 -18.0434 0 
71 -45.1086 -27.0651 0 
72 -45.1086 -36.0869 0 
73 -45.1086 -45.1086 0 
74 -42.7865 42.7865 0 
75 -42.7865 34.2292 0 
76 -42.7865 25.6719 0 
77 -42.7865 17.1146 0 
78 -42.7865 8.5573 0 
79 -42.7865 4.26904e-13 0 
80 -42.7865 -8.5573 0 
81 -42.7865 -17.1146 0 
82 -42.7865 -25.6719 0 
83 -42.7865 -34.2292 0 
84 -42.7865 -42.7865 0 
85 -40 40 0 
86 -40 32 0 
87 -40 24 0 
88 -40 16 0 
89 -40 8 0 
90 -40 3.9968e-13 0 
91 -40 -8 0 
92 -40 -16 0 
93 -40 -24 0 
94 -40 -32 0 
95 -40 -40 0 
96 -38.925 -48.6562 0 
97 -29.1937 -48.6562 0 
98 -19.4625 -48.6562 0 
99 -9.73124 -48.6562 0 
100 4.83058e-13 -48.6562 0 
101 9.73124 -48.6562 0 
102 19.4625 -48.6562 0 
103 29.1937 -48.6562 0 
104 38.925 -48.6562 0 
105 48.6562 -48.6562 0 
106 -37.6349 -47.0436 0 
107 -28.2262 -47.0436 0 
108 -18.8175 -47.0436 0 
109 -9.40873 -47.0436 0 
110 4.65871e-13 -47.0436 0 
111 9.40873 -47.0436 0 
112 18.8175 -47.0436 0 
113 28.2262 -47.0436 0 
114 37.6349 -47.0436 0 
115 47.0436 -47.0436 0 
116 -36.0869 -45.1086 0 
117 -27.0651 -45.1086 0 
118 -18.0434 -45.1086 0 
119 -9.02172 -45.1086 0 
120 4.45246e-13 -45.1086 0 
121 9.02172 -45.1086 0 
122 18.0434 -45.1086 0 
123 27.0651 -45.1086 0 
124 36.0869 -45.1086 0 
125 45.1086 -45.1086 0 
126 -34.2292 -42.7865 0 
127 -25.6719 -42.7865 0 
128 -17.1146 -42.7865 0 
129 -8.5573 -42.7865 0 
130 4.20497e-13 -42.7865 0 
131 8.5573 -42.7865 0 
132 17.1146 -42.7865 0 
133 25.6719 -42.7865 0 
134 34.2292 -42.7865 0 
135 42.7865 -42.7865 0 
136 -32 -40 0 
137 -24 -40 0 
138 -16 -40 0 
139 -8 -40 0 
140 3.90799e-13 -40 0 
141 8 -40 0 
142 16 -40 0 
143 24 -40 0 
144 32 -40 0 
145 40 -40 0 
146 48.6562 -38.925 0 
147 48.6562 -29.1937 0 
