+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 04-05-2019_14-36-26

	normalVector array

-1 -0 
0 -1 
-1 -0 
0 1 
0 -1 
1 -0 
0 1 
1 -0 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
2.7105e-16 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
0 1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -6.957e-16 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 -1 
-1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
-3.614e-16 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -1.55402e-15 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -1.08425e-16 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 1.33718e-15 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -1.55403e-15 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -1.08417e-16 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -0 
0 1 
-1 -1.08425e-16 
