+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 16-03-2019_13-44-48

	normalVector array

-1 -0 
0 1 
0 -1 
-1 -0 
-1 -0 
0 1 
-0.707314 -0.706899 
0 1 
0 -1 
-1 -0 
0 -1 
1 -0 
0 1 
0 -1 
1 -0 
-0.707107 0.707107 
-1 -0 
-0.397723 -0.917506 
-0.572541 0.819876 
0.438778 0.898595 
-1 -0 
-1 -0 
-0.490568 -0.871403 
-0.517678 0.855576 
-0.501188 0.865338 
-1 -0 
-0.508728 -0.860928 
-1 -0 
-0.508015 -0.861348 
-0.493565 0.869709 
-0.492412 0.870363 
-1 -0 
-0.505422 -0.862873 
-1 -0 
-0.504281 -0.86354 
-0.494173 0.869364 
-0.49618 0.86822 
-1 -0 
-0.503346 -0.864085 
-1 -0 
-0.502838 -0.864381 
-0.497944 0.867209 
-0.498636 0.866812 
-1 -0 
-0.501847 -0.864956 
-1 -0 
-0.501181 -0.865343 
-0.499296 0.866431 
-0.49953 0.866296 
-1 -0 
-0.500551 -0.865707 
-1 -0 
-0.500308 -0.865848 
-0.499801 0.86614 
-0.499858 0.866107 
-1 -0 
-0.500115 -0.865959 
-1 -0 
-0.500026 -0.86601 
-0.499965 0.866046 
-0.500026 0.86601 
-1 -0 
-0.500022 -0.866013 
-1 -0 
-0.500018 -0.866015 
-0.500022 0.866013 
-0.500018 0.866015 
-1 -0 
-0.500016 -0.866016 
-1 -0 
-0.500013 -0.866018 
-0.500016 0.866016 
-0.500013 0.866018 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.50001 -0.86602 
-0.500011 0.866019 
-0.50001 0.86602 
-1 -0 
-0.50001 -0.86602 
-1 -0 
-0.50001 -0.86602 
-0.50001 0.86602 
-0.50001 0.86602 
-1 -0 
-0.50001 -0.86602 
-1 -0 
-0.50001 -0.86602 
-0.50001 0.86602 
-0.50001 0.86602 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.500011 -0.866019 
-1 -0 
-0.500011 -0.866019 
-0.500011 0.866019 
-0.500011 0.866019 
-1 -0 
-0.50001 -0.86602 
-1 -0 
-0.500008 -0.866021 
-0.50001 0.86602 
-0.500008 0.866021 
-1 -0 
-0.500006 -0.866022 
-1 -0 
-0.499999 -0.866026 
-0.500006 0.866022 
-0.499999 0.866026 
-1 -0 
-0.49999 -0.866031 
-1 -0 
-0.50004 -0.866002 
-0.49999 0.866031 
-0.49989 0.866089 
-1 -0 
-0.500012 -0.866019 
-1 -0 
-0.500103 -0.865966 
-0.499862 0.866105 
-0.499653 0.866225 
-1 -0 
-0.500123 -0.865954 
-1 -0 
-0.500205 -0.865907 
-0.499524 0.8663 
-0.499305 0.866426 
-1 -0 
-0.500347 -0.865825 
-1 -0 
-0.500783 -0.865573 
-0.499148 0.866517 
-0.498684 0.866784 
-1 -0 
-0.501316 -0.865264 
-1 -0 
-0.502552 -0.864547 
-0.497867 0.867253 
-0.494909 0.868945 
-1 -0 
-0.503302 -0.86411 
-1 -0 
-0.504056 -0.863671 
-0.490698 0.87133 
-0.484097 0.875015 
-1 -0 
-0.503774 -0.863836 
-1 -0 
-0.503887 -0.86377 
-0.479508 0.877537 
-0.479058 0.877783 
-1 -0 
-0.504412 -0.863463 
-1 -0 
-0.505595 -0.862771 
-0.487895 0.872902 
-0.506332 0.862338 
-1 -0 
-0.500867 -0.865524 
-1 -0 
-0.469709 -0.882821 
-0.512149 0.858897 
-0.51562 0.856817 
-1 -0 
-0.385938 -0.922525 
-0.706093 -0.708119 
-0.0831979 -0.996533 
-0.607648 0.794207 
0.708587 0.705623 
-0.916239 0.400633 
0 1 
0.819477 0.573112 
-0.896174 0.443703 
0 1 
-0.868466 0.495749 
0 1 
0.846331 0.532657 
0.849282 0.52794 
-0.863264 0.504752 
0 1 
-0.872018 0.489473 
0 1 
0.855628 0.517591 
0.86043 0.509568 
-0.874904 0.484297 
0 1 
-0.873339 0.487112 
0 1 
0.862901 0.505374 
0.864485 0.502658 
-0.871254 0.490833 
0 1 
-0.869088 0.494657 
0 1 
0.865271 0.501305 
0.865825 0.500347 
-0.867837 0.496848 
0 1 
-0.8669 0.498482 
0 1 
0.865942 0.500145 
0.866036 0.499982 
-0.86646 0.499246 
0 1 
-0.866206 0.499688 
0 1 
0.866028 0.499996 
0.866032 0.499988 
-0.866087 0.499893 
0 1 
-0.866019 0.500011 
0 1 
0.866001 0.500043 
0.866019 0.500011 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
0.866019 0.500011 
0.866019 0.500011 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
0.866019 0.500011 
0.866019 0.500011 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
0.866019 0.500011 
0.866019 0.500011 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
0.866019 0.500011 
0.866019 0.500011 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
0.866019 0.500011 
0.866019 0.500011 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
0.866019 0.500011 
0.866019 0.500011 
-0.866019 0.500011 
0 1 
-0.866019 0.500011 
0 1 
0.866019 0.500011 
0.866019 0.500011 
-0.866044 0.499968 
0 1 
-0.866001 0.500043 
0 1 
0.866044 0.499968 
0.866087 0.499893 
-0.866026 0.499999 
0 1 
-0.866051 0.499956 
0 1 
0.866112 0.499849 
0.866137 0.499806 
-0.866032 0.499988 
0 1 
-0.866107 0.499858 
0 1 
0.866206 0.499688 
0.86628 0.499558 
-0.866219 0.499665 
0 1 
-0.86646 0.499246 
0 1 
0.866219 0.499665 
0.866028 0.499996 
-0.866681 0.498862 
0 1 
-0.867118 0.498102 
0 1 
0.865556 0.500812 
0.864517 0.502603 
-0.867485 0.497463 
0 1 
-0.868144 0.496312 
0 1 
0.863243 0.504788 
0.861313 0.508074 
-0.868824 0.495121 
0 1 
-0.87021 0.492682 
0 1 
0.859351 0.511386 
0.856662 0.515879 
-0.871992 0.489521 
0 1 
-0.874058 0.485821 
0 1 
0.853604 0.520923 
0.850234 0.526404 
-0.877263 0.48001 
0 1 
-0.888723 0.458445 
0 1 
0.852286 0.523076 
0.853838 0.520539 
-0.92297 0.384872 
0 1 
-0.996473 0.0839098 
0.792132 0.610349 
0.707615 -0.706599 
0.350283 0.936644 
-1 -0 
-0.707826 -0.706387 
-0.389723 0.920932 
0.565698 -0.824613 
0.373272 0.927722 
-1 -0 
-0.560604 -0.828084 
-0.433934 0.900945 
0.392235 0.919865 
-1 -0 
0.530064 -0.847957 
-0.522631 -0.852559 
-0.482915 0.875667 
0.477541 -0.878609 
0.443206 0.89642 
-1 -0 
-0.52749 -0.849561 
-0.498692 0.866779 
0.455726 0.89012 
-1 -0 
0.462188 -0.886782 
-0.541079 -0.840971 
-0.491209 0.871042 
0.487696 -0.873013 
-1 -0 
0.505283 0.862954 
-0.495729 -0.868477 
-0.48713 0.87333 
-1 -0 
0.503908 0.863757 
0.466447 -0.884549 
-0.483671 -0.87525 
-0.488442 0.872597 
0.443992 -0.896031 
-1 -0 
0.516166 0.856488 
-0.482677 -0.875798 
-0.540851 0.841118 
-1 -0 
0.553277 0.832997 
0.420632 -0.907231 
-0.436266 -0.899818 
-0.552907 0.833243 
0.515313 -0.857002 
-1 -0 
0.492709 0.870194 
-0.50421 -0.863581 
-0.539075 0.842258 
-1 -0 
0.55529 0.831657 
-0.434451 0.900695 
-0.470521 -0.882389 
-0.587203 0.80944 
0.502518 -0.864567 
0.483847 0.875152 
-1 -0 
-0.516511 -0.856281 
-0.500142 0.865943 
0.50734 0.861746 
-1 -0 
0.517511 -0.855677 
-0.538115 -0.842871 
-0.547356 0.8369 
0.526485 -0.850185 
0.453047 0.891487 
-1 -0 
-0.497237 -0.867615 
-0.504616 0.863344 
-1 -0 
0.499632 0.866238 
0.459681 -0.888084 
-0.460379 -0.887722 
-0.531213 0.847238 
0.434917 -0.900471 
-1 -0 
0.526724 0.850036 
-0.414619 -0.909995 
-0.571057 0.82091 
-1 -0 
0.525777 0.850623 
0.429283 -0.90317 
-0.48223 -0.876045 
-0.493193 0.86992 
0.334855 -0.94227 
-1 -0 
0.527482 0.849566 
-0.401592 -0.915819 
-0.531582 0.847007 
0.428771 0.903413 
-1 -0 
0.491816 -0.870699 
-0.352385 -0.935855 
-0.624876 0.780724 
0.523611 -0.851958 
