+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 01-04-2019_20-49-07

	normalVector array

0.631239 -0.775588 
-7.94015e-13 1 
-0.998796 -0.049065 
-0.998796 0.049065 
0.998796 0.0490648 
3.17601e-14 1 
0.402676 -0.915343 
0.998796 -0.0490648 
0.775588 0.631239 
-1 -1.73408e-13 
-0.049065 -0.998796 
0.049065 -0.998796 
0.915343 0.402676 
0.0490648 0.998796 
-0.0490648 0.998796 
-1 -1.18135e-13 
-0.915343 -0.402676 
-0.0490648 -0.998796 
1 -1.18421e-13 
0.0490648 -0.998796 
1 -1.70446e-13 
-0.775588 -0.631239 
-0.049065 0.998796 
0.049065 0.998796 
-1.84118e-13 -1 
-0.631239 0.775588 
0.998796 -0.049065 
0.998796 0.049065 
-1.32097e-13 -1 
-0.998796 -0.0490648 
-0.402676 0.915343 
-0.998796 0.0490648 
0.607963 -0.793966 
0 1 
0.552177 -0.833727 
-0.998795 0.04907 
-0.998795 -0.04907 
-0.998797 -0.0490459 
0.587789 -0.809014 
0 1 
0.52722 -0.849729 
-0.998797 0.0490459 
-0.998795 -0.0490754 
0.570489 -0.821305 
0 1 
0.505663 -0.862731 
-0.998795 0.0490754 
-0.998797 -0.0490419 
0.555789 -0.831323 
0 1 
0.487245 -0.873265 
-0.998797 0.0490419 
-0.998796 -0.0490618 
0.5434 -0.839474 
0 1 
0.471636 -0.881793 
-0.998796 0.0490618 
-0.998795 -0.049082 
0.533015 -0.846106 
0 1 
0.458498 -0.888695 
-0.998795 0.049082 
-0.998796 -0.0490615 
0.524351 -0.851502 
0 1 
0.447514 -0.894277 
-0.998796 0.0490615 
-0.998796 -0.0490652 
0.517153 -0.855893 
0 1 
0.438366 -0.898797 
-0.998796 0.0490652 
-0.998795 -0.049072 
0.511179 -0.859474 
0 1 
0.43077 -0.902462 
-0.998795 0.049072 
-0.998796 -0.0490603 
0.506269 -0.862375 
0 1 
0.424476 -0.905439 
-0.998796 0.0490603 
-0.998796 -0.0490536 
0.502191 -0.864757 
0 1 
0.419307 -0.907845 
-0.998796 0.0490536 
-0.998796 -0.049051 
0.498848 -0.86669 
0 1 
0.415018 -0.909813 
-0.998796 0.049051 
-0.998794 -0.0491004 
0.496097 -0.868267 
0 1 
0.411493 -0.911413 
-0.998794 0.0491004 
