+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 29-03-2019_21-20-43

	normalVector array

-1 -0 
0 -1 
0 -1 
0.708599 -0.705611 
0 1 
-1 -0 
-0.706923 -0.707291 
0 1 
-1 -0 
0 -1 
-1 -0 
0 1 
1 -0 
0 -1 
0 1 
1 -0 
-0.706008 0.708204 
-1 -0 
-0.390771 -0.920488 
-0.573865 0.81895 
0.425943 0.90475 
-1 -0 
-1 -0 
-0.470754 -0.882265 
-0.514804 0.857308 
-0.496702 0.867921 
-1 -0 
-0.489549 -0.871976 
-1 -0 
-0.49736 -0.867545 
-0.492914 0.870078 
-0.494434 0.869215 
-1 -0 
-0.500069 -0.865986 
-1 -0 
-0.500217 -0.8659 
-0.496687 0.86793 
-0.498111 0.867113 
-1 -0 
-0.499352 -0.866399 
-1 -0 
-0.498553 -0.866859 
-0.498976 0.866616 
-0.49938 0.866383 
-1 -0 
-0.498181 -0.867073 
-1 -0 
-0.498188 -0.867069 
-0.499459 0.866338 
-0.499466 0.866333 
-1 -0 
-0.498368 -0.866965 
-1 -0 
-0.498558 -0.866856 
-0.499345 0.866403 
-0.499235 0.866467 
-1 -0 
-0.498699 -0.866775 
-1 -0 
-0.498726 -0.86676 
-0.499075 0.866559 
-0.498952 0.86663 
-1 -0 
-0.498673 -0.86679 
-1 -0 
-0.498631 -0.866815 
-0.498898 0.866661 
-0.498856 0.866685 
-1 -0 
-0.498537 -0.866868 
-1 -0 
-0.498564 -0.866853 
-0.498913 0.866652 
-0.498939 0.866637 
-1 -0 
-0.498523 -0.866876 
-1 -0 
-0.498648 -0.866805 
-0.49905 0.866573 
-0.499024 0.866588 
-1 -0 
-0.498674 -0.86679 
-1 -0 
-0.498826 -0.866702 
-0.498975 0.866617 
-0.498901 0.866659 
-1 -0 
-0.498803 -0.866715 
-1 -0 
-0.498846 -0.866691 
-0.498879 0.866672 
-0.498771 0.866734 
-1 -0 
-0.498754 -0.866744 
-1 -0 
-0.498797 -0.866719 
-0.498829 0.8667 
-0.498872 0.866676 
-1 -0 
-0.49869 -0.86678 
-1 -0 
-0.498645 -0.866806 
-0.499216 0.866477 
-0.499773 0.866157 
-1 -0 
-0.498254 -0.867031 
-1 -0 
-0.496804 -0.867863 
-0.500887 0.865513 
-0.50035 0.865823 
-1 -0 
-0.496849 -0.867837 
-1 -0 
-0.502206 -0.864748 
-0.495862 0.868401 
-0.499486 0.866322 
-1 -0 
-0.497697 -0.867351 
-1 -0 
-0.495583 -0.868561 
-0.502046 0.864841 
-0.49156 0.870844 
-1 -0 
-0.498755 -0.866743 
-1 -0 
-0.518182 -0.855271 
-0.478251 0.878223 
-0.477693 0.878527 
-1 -0 
-0.518997 -0.854776 
-1 -0 
-0.505833 -0.862631 
-0.490745 0.871303 
-0.490315 0.871545 
-1 -0 
-0.507279 -0.861782 
-1 -0 
-0.519662 -0.854372 
-0.480483 0.877004 
-0.514067 0.85775 
-1 -0 
-0.515632 -0.85681 
-1 -0 
-0.521791 -0.853073 
-0.509603 0.86041 
-0.52148 0.853264 
-1 -0 
-0.492812 -0.870136 
-1 -0 
-0.454035 -0.890984 
-0.520721 0.853727 
-0.532144 0.846654 
-1 -0 
-0.454291 -0.890853 
-1 -0 
-0.461744 -0.887013 
-0.487961 0.872865 
-0.507051 0.861916 
-1 -0 
-0.472832 -0.881152 
-1 -0 
-0.482567 -0.875859 
-0.490478 0.871453 
-0.468259 0.883591 
-1 -0 
-0.482819 -0.87572 
-1 -0 
-0.478458 -0.87811 
-0.472948 0.88109 
-0.501104 0.865387 
-1 -0 
-0.479699 -0.877433 
-1 -0 
-0.465502 -0.885047 
-0.481957 0.876195 
-0.46976 0.882794 
-1 -0 
-0.489161 -0.872193 
-1 -0 
-0.503035 -0.864266 
-0.427748 0.903898 
-0.443246 0.8964 
-1 -0 
-0.531311 -0.847177 
-1 -0 
-0.521868 -0.853026 
-0.497381 0.867532 
-0.509963 0.860196 
-1 -0 
-0.492223 -0.870469 
-1 -0 
-0.497116 -0.867684 
-0.471351 0.881946 
-0.467534 0.883975 
-1 -0 
-0.514127 -0.857714 
-1 -0 
-0.527407 -0.849613 
-0.475419 0.87976 
-0.480515 0.876986 
-1 -0 
-0.538747 -0.842467 
-1 -0 
-0.491135 -0.871084 
-0.555533 0.831495 
-0.553333 0.83296 
-1 -0 
-0.484102 -0.875012 
-1 -0 
-0.427345 -0.904089 
-0.549689 0.835369 
-0.545891 0.837856 
-1 -0 
-0.319842 -0.947471 
-0.678501 -0.734599 
-0.0681581 -0.997675 
-0.58289 0.812551 
0.706824 0.70739 
0 1 
-0.921717 0.387862 
0.82696 0.56226 
0.912621 -0.408807 
0 1 
0 1 
-0.893591 0.448882 
0.871477 0.490437 
0.881541 0.472107 
0 1 
-0.875571 0.48309 
0 1 
-0.863391 0.504536 
0.879525 0.475853 
0.875524 0.483175 
0 1 
-0.858053 0.513561 
0 1 
-0.859037 0.511913 
0.872819 0.488043 
0.8708 0.491638 
0 1 
-0.861132 0.508381 
0 1 
-0.863289 0.50471 
0.87058 0.492027 
0.870526 0.492123 
0 1 
-0.86445 0.502719 
0 1 
-0.864209 0.503133 
0.871093 0.491118 
0.872936 0.487834 
0 1 
-0.863427 0.504473 
0 1 
-0.861717 0.50739 
0.874095 0.485755 
0.87433 0.485332 
0 1 
-0.859844 0.510557 
0 1 
-0.856886 0.515506 
0.869096 0.494644 
0.856056 0.516884 
0 1 
-0.857585 0.514342 
0 1 
-0.875978 0.482351 
0.851237 0.524781 
0.850927 0.525285 
0 1 
-0.919764 0.392472 
-0.996566 0.0827963 
0.788836 0.614604 
0.705152 -0.709056 
-1 -0 
0.380086 0.924951 
-0.657622 0.753348 
-0.214712 -0.976678 
0.589528 -0.807748 
-0.428741 -0.903427 
-1 -0 
-0.458387 -0.888753 
-0.504582 0.863364 
-1 -0 
0.474162 0.880438 
0.525008 -0.851098 
-0.479993 -0.877272 
-0.507402 0.86171 
0.521555 -0.853218 
-1 -0 
0.498513 0.866882 
-0.495765 -0.868457 
-0.558271 0.829659 
-1 -0 
0.501098 0.86539 
0.512756 -0.858534 
-0.461561 -0.887108 
-0.542917 0.839786 
0.513761 -0.857933 
-1 -0 
0.493123 0.869959 
-0.487003 -0.8734 
-0.517038 0.855963 
-1 -0 
0.492863 0.870107 
0.506501 -0.86224 
-0.50354 -0.863972 
-0.509224 0.860634 
0.517137 -0.855902 
-1 -0 
0.454321 0.890838 
-0.530111 -0.847929 
-0.478873 0.877884 
-1 -0 
0.463861 0.885908 
0.501291 -0.865279 
-0.507638 -0.86157 
-0.483501 0.875344 
0.473083 -0.881018 
-1 -0 
0.472897 0.881118 
-0.466598 -0.88447 
-0.52877 0.848765 
-1 -0 
0.472476 0.881343 
0.477731 -0.878506 
-0.441367 -0.897327 
-0.539546 0.841956 
0.520874 -0.853633 
-1 -0 
0.450663 0.892694 
-0.505286 -0.862952 
-0.493983 0.869472 
-1 -0 
0.463346 0.886177 
0.50923 -0.86063 
-0.533735 -0.845652 
-0.496481 0.868048 
0.494173 -0.869363 
-1 -0 
0.503401 0.864053 
-0.512152 -0.858895 
-0.503665 0.863899 
-1 -0 
0.471687 0.881766 
0.489767 -0.871853 
-0.529411 -0.848365 
-0.499297 0.866431 
0.496795 -0.867868 
-1 -0 
0.45773 0.889091 
-0.502889 -0.864351 
-0.48252 0.875885 
-1 -0 
0.501333 0.865254 
0.472604 -0.881275 
-0.484145 -0.874988 
-0.520851 0.853647 
0.492793 -0.870147 
-1 -0 
0.495407 0.868661 
-0.515312 -0.857003 
-0.503303 0.86411 
-1 -0 
0.492569 0.870273 
0.488929 -0.872323 
-0.513395 -0.858153 
-0.511738 0.859142 
0.50647 -0.862257 
-1 -0 
0.475357 0.879793 
-0.517452 -0.855712 
-0.520032 0.854147 
-1 -0 
0.492008 0.870591 
0.482146 -0.876091 
-0.468472 -0.883478 
-0.524575 0.851365 
0.496195 -0.868211 
-1 -0 
0.467483 0.884002 
-0.489734 -0.871872 
-0.502729 0.864444 
-1 -0 
0.462292 0.886728 
0.490655 -0.871354 
-0.501789 -0.86499 
-0.529999 0.847998 
0.455457 -0.890258 
-1 -0 
0.467027 0.884243 
-0.469647 -0.882854 
-0.567698 0.823237 
-1 -0 
0.519566 0.85443 
0.455698 -0.890135 
-0.446845 -0.894611 
-0.626456 0.779457 
0.471951 -0.881625 
-1 -0 
0.518046 0.855353 
-0.464727 -0.885454 
-0.597543 0.801837 
-1 -0 
0.497667 0.867368 
0.486352 -0.873763 
-0.530933 -0.847414 
-0.552068 0.833799 
0.449916 -0.893071 
-1 -0 
0.530184 0.847883 
-0.500875 -0.865519 
-0.561548 0.827444 
-1 -0 
0.512712 0.85856 
0.456126 -0.889915 
-0.520009 -0.854161 
-0.561474 0.827495 
0.468062 -0.883696 
-1 -0 
0.522055 0.852912 
-0.505176 -0.863017 
-0.558027 0.829823 
-1 -0 
0.522789 0.852462 
0.471277 -0.881985 
-0.514438 -0.857528 
-0.546775 0.837279 
0.49165 -0.870793 
-1 -0 
0.522609 0.852572 
-0.492621 -0.870244 
-0.578665 0.815565 
-1 -0 
0.505122 0.863048 
0.469461 -0.882953 
-0.430998 -0.902353 
-0.638009 0.770029 
0.513596 -0.858032 
-1 -0 
0.488772 0.872412 
-0.458925 -0.888475 
-0.637159 0.770733 
-1 -0 
0.474864 0.880059 
0.511511 -0.859277 
-0.473289 -0.880907 
-0.609583 0.792722 
0.502937 -0.864323 
-1 -0 
0.488083 0.872797 
-0.488322 -0.872664 
-0.626767 0.779207 
-1 -0 
0.496015 0.868314 
0.495673 -0.868509 
-0.500069 -0.865986 
-0.633502 0.773741 
0.46753 -0.883977 
-1 -0 
0.513185 0.858278 
-0.463363 -0.886169 
-0.641997 0.766707 
-1 -0 
0.526504 0.850173 
0.479225 -0.877692 
-0.475896 -0.879502 
-0.627486 0.778628 
0.501496 -0.86516 
-1 -0 
0.474187 0.880424 
-0.526295 -0.850302 
-0.574213 0.818706 
-1 -0 
0.492594 0.870259 
0.463887 -0.885894 
-0.490663 -0.87135 
-0.590823 0.806801 
0.485777 -0.874083 
