+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 29-03-2019_23-31-39

	normalVector array

-1 -0 
0 -1 
0 -1 
0 1 
-1 -0 
-0.706275 -0.707938 
0 1 
-1 -0 
0 -1 
-1 -0 
0 1 
1 -0 
0 -1 
0 1 
1 -0 
-0.707107 0.707107 
-1 -0 
-0.405056 -0.914292 
-0.565361 0.824843 
0.448041 0.894013 
-1 -0 
-1 -0 
-0.501195 -0.865334 
-0.502077 0.864823 
-0.482106 0.876113 
-1 -0 
-0.522883 -0.852405 
-1 -0 
-0.52731 -0.849673 
-0.477704 0.878521 
-0.481855 0.876251 
-1 -0 
-0.526763 -0.850012 
-1 -0 
-0.520679 -0.853752 
-0.486677 0.873582 
-0.490266 0.871573 
-1 -0 
-0.512578 -0.858641 
-1 -0 
-0.505106 -0.863057 
-0.492891 0.870091 
-0.495803 0.868435 
-1 -0 
-0.500654 -0.865648 
-1 -0 
-0.49875 -0.866746 
-0.497656 0.867375 
-0.49875 0.866746 
-1 -0 
-0.498241 -0.867038 
-1 -0 
-0.498549 -0.866862 
-0.49929 0.866435 
-0.499598 0.866257 
-1 -0 
-0.498996 -0.866604 
-1 -0 
-0.499416 -0.866363 
-0.499746 0.866172 
-0.499865 0.866103 
-1 -0 
-0.499772 -0.866157 
-1 -0 
-0.500098 -0.865969 
-0.499922 0.86607 
-0.499948 0.866056 
-1 -0 
-0.500262 -0.865874 
-1 -0 
-0.500275 -0.865867 
-0.499962 0.866047 
-0.499975 0.86604 
-1 -0 
-0.50032 -0.86584 
-1 -0 
-0.500223 -0.865897 
-0.49987 0.8661 
-0.499923 0.86607 
-1 -0 
-0.500149 -0.865939 
-1 -0 
-0.500107 -0.865964 
-0.499999 0.866026 
-0.500107 0.865964 
-1 -0 
-0.500176 -0.865924 
-1 -0 
-0.500202 -0.865909 
-0.500176 0.865924 
-0.500202 0.865909 
-1 -0 
-0.500205 -0.865907 
-1 -0 
-0.500143 -0.865943 
-0.500205 0.865907 
-0.500143 0.865943 
-1 -0 
-0.499988 -0.866032 
-1 -0 
-0.499897 -0.866085 
-0.500138 0.865945 
-0.500047 0.865998 
-1 -0 
-0.499819 -0.86613 
-1 -0 
-0.49968 -0.86621 
-0.499969 0.866043 
-0.49998 0.866037 
-1 -0 
-0.499662 -0.866221 
-1 -0 
-0.499662 -0.866221 
-0.499962 0.866047 
-0.499962 0.866047 
-1 -0 
-0.499704 -0.866196 
-1 -0 
-0.499816 -0.866132 
-0.500004 0.866023 
-0.499966 0.866045 
-1 -0 
-0.499921 -0.866071 
-1 -0 
-0.499916 -0.866074 
-0.499921 0.866071 
-0.499916 0.866074 
-1 -0 
-0.499985 -0.866034 
-1 -0 
-0.499908 -0.866079 
-0.499835 0.866121 
-0.499908 0.866079 
-1 -0 
-0.499935 -0.866063 
-1 -0 
-0.499979 -0.866038 
-0.499935 0.866063 
-0.499979 0.866038 
-1 -0 
-0.500026 -0.866011 
-1 -0 
-0.500129 -0.865951 
-0.500026 0.866011 
-0.499979 0.866038 
-1 -0 
-0.500128 -0.865952 
-1 -0 
-0.500112 -0.865961 
-0.499978 0.866038 
-0.499962 0.866048 
-1 -0 
-0.500073 -0.865984 
-1 -0 
-0.500098 -0.865969 
-0.499923 0.86607 
-0.499798 0.866142 
-1 -0 
-0.499955 -0.866051 
-1 -0 
-0.499516 -0.866305 
-0.499805 0.866138 
-0.500116 0.865958 
-1 -0 
-0.498889 -0.866666 
-1 -0 
-0.497545 -0.867438 
-0.500869 0.865523 
-0.503156 0.864195 
-1 -0 
-0.496051 -0.868294 
-1 -0 
-0.494099 -0.869406 
-0.507087 0.861895 
-0.512833 0.858489 
-1 -0 
-0.492702 -0.870198 
-1 -0 
-0.489764 -0.871855 
-0.517051 0.855954 
-0.517448 0.855715 
-1 -0 
-0.483323 -0.875442 
-1 -0 
-0.462261 -0.886744 
-0.511342 0.859377 
-0.512091 0.858931 
-1 -0 
-0.39096 -0.920408 
-0.707107 -0.707107 
-0.0893806 -0.995998 
-0.606725 0.794912 
0.707107 0.707107 
0 1 
-0.921082 0.389368 
0.821266 0.570545 
0.910157 -0.414263 
0 1 
0 1 
-0.890883 0.454233 
0.859824 0.510591 
0.867095 0.498143 
0 1 
-0.878038 0.478591 
0 1 
-0.874857 0.484382 
0.868589 0.495534 
0.868663 0.495403 
0 1 
-0.872992 0.487735 
0 1 
-0.871673 0.490087 
0.868358 0.495938 
0.867861 0.496807 
0 1 
-0.87135 0.490661 
0 1 
-0.87072 0.491778 
0.866929 0.498432 
0.865415 0.501056 
0 1 
-0.870313 0.492499 
0 1 
-0.870016 0.493023 
0.863155 0.504939 
0.860439 0.509553 
0 1 
-0.870521 0.492131 
0 1 
-0.871728 0.48999 
0.856861 0.515547 
0.852827 0.522193 
0 1 
-0.873251 0.48727 
0 1 
-0.876294 0.481777 
0.850061 0.526684 
0.848305 0.529508 
0 1 
-0.880741 0.473598 
0 1 
-0.893226 0.449608 
0.853159 0.521651 
0.854788 0.518977 
0 1 
-0.925846 0.377901 
-0.996676 0.0814632 
0.794091 0.607799 
0.707107 -0.707107 
-1 -0 
0.401664 0.915787 
-0.707107 -0.707107 
-0.606642 0.794975 
-0.0880479 -0.996116 
0.571091 -0.820886 
-0.445243 -0.89541 
-1 -0 
-0.391782 -0.920058 
-0.512881 0.85846 
-1 -0 
0.499689 0.866205 
0.513258 -0.858234 
-0.467384 -0.884054 
-0.51328 0.858221 
0.495062 -0.868857 
-1 -0 
0.52057 0.853819 
-0.490032 -0.871705 
-0.515293 0.857014 
-1 -0 
0.522253 0.852791 
0.488533 -0.872545 
-0.495543 -0.868584 
-0.509155 0.860675 
0.488647 -0.872482 
-1 -0 
0.518072 0.855337 
-0.497504 -0.867462 
-0.503254 0.864139 
-1 -0 
0.510978 0.859594 
0.490914 -0.871208 
-0.498841 -0.866694 
-0.499565 0.866276 
0.494208 -0.869343 
-1 -0 
0.505886 0.862601 
-0.499505 -0.866311 
-0.49765 0.867378 
-1 -0 
0.502769 0.864421 
0.496698 -0.867924 
-0.499778 -0.866154 
-0.497263 0.8676 
0.498806 -0.866713 
-1 -0 
0.501368 0.865234 
-0.49999 -0.866031 
-0.497805 0.867289 
-1 -0 
0.501143 0.865365 
0.499867 -0.866102 
-0.500053 -0.865995 
-0.498612 0.866825 
0.500092 -0.865972 
-1 -0 
0.500906 0.865502 
-0.500111 -0.865961 
-0.499333 0.86641 
-1 -0 
0.500701 0.86562 
0.500156 -0.865935 
-0.500083 -0.865978 
-0.499774 0.866156 
0.500101 -0.865967 
-1 -0 
0.500453 0.865764 
-0.500074 -0.865982 
-0.500054 0.865994 
-1 -0 
0.500366 0.865814 
0.500003 -0.866024 
-0.500054 -0.865994 
-0.500129 0.865951 
0.499916 -0.866074 
-1 -0 
0.500161 0.865932 
-0.499979 -0.866037 
-0.500129 0.865951 
-1 -0 
0.500086 0.865976 
0.499861 -0.866106 
-0.499979 -0.866037 
-0.500054 0.865994 
0.499936 -0.866062 
-1 -0 
0.500054 0.865994 
-0.500054 -0.865994 
-0.500011 0.866019 
-1 -0 
0.500098 0.865969 
0.500054 -0.865994 
-0.500011 -0.866019 
-0.500011 0.866019 
0.500098 -0.865969 
-1 -0 
0.500184 0.865919 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.500259 0.865876 
0.500184 -0.865919 
-0.500011 -0.866019 
-0.500011 0.866019 
0.500109 -0.865962 
-1 -0 
0.500184 0.865919 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.500228 0.865894 
0.500184 -0.865919 
-0.500011 -0.866019 
-0.500011 0.866019 
0.500228 -0.865894 
-1 -0 
0.500153 0.865937 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.500196 0.865912 
0.500303 -0.865851 
-0.500011 -0.866019 
-0.500011 0.866019 
0.500346 -0.865826 
-1 -0 
0.500196 0.865912 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.500153 0.865937 
0.500346 -0.865826 
-0.500011 -0.866019 
-0.500011 0.866019 
0.500303 -0.865851 
-1 -0 
0.500023 0.866012 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.499936 0.866062 
0.500173 -0.865926 
-0.500011 -0.866019 
-0.500011 0.866019 
0.500086 -0.865976 
-1 -0 
0.499806 0.866137 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.49972 0.866187 
0.499956 -0.866051 
-0.500011 -0.866019 
-0.500011 0.866019 
0.49987 -0.866101 
-1 -0 
0.499633 0.866237 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.49959 0.866262 
0.499783 -0.866151 
-0.500011 -0.866019 
-0.500011 0.866019 
0.49974 -0.866176 
-1 -0 
0.49959 0.866262 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.499633 0.866237 
0.49974 -0.866176 
-0.500011 -0.866019 
-0.500011 0.866019 
0.499783 -0.866151 
-1 -0 
0.49972 0.866187 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.499881 0.866094 
0.49987 -0.866101 
-0.500011 -0.866019 
-0.500011 0.866019 
0.499881 -0.866094 
-1 -0 
0.499999 0.866026 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.500086 0.865976 
0.499849 -0.866112 
-0.500011 -0.866019 
-0.500011 0.866019 
0.499936 -0.866062 
-1 -0 
0.500118 0.865957 
-0.500011 -0.866019 
-0.500011 0.866019 
-1 -0 
0.500193 0.865914 
0.499818 -0.866131 
-0.500011 -0.866019 
-0.499979 0.866037 
0.499743 -0.866174 
-1 -0 
0.500224 0.865896 
-0.500129 -0.865951 
-0.499979 0.866037 
-1 -0 
0.500138 0.865946 
0.499624 -0.866242 
-0.500129 -0.865951 
-0.500023 0.866012 
0.499538 -0.866292 
-1 -0 
0.500351 0.865823 
-0.500173 -0.865926 
-0.499948 0.866056 
-1 -0 
0.500446 0.865768 
0.499151 -0.866515 
-0.500248 -0.865882 
-0.499959 0.866049 
0.498796 -0.866719 
-1 -0 
0.500828 0.865547 
-0.500409 -0.865789 
