+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 16-03-2019_20-48-30

	normalVector array

0 -1 
-1 -0 
0 -1 
-1 -0 
0 1 
-0.705922 -0.70829 
0 1 
0 -1 
-1 -0 
-1 -0 
0 1 
0 -1 
1 -0 
1 -0 
0 1 
-0.707107 0.707107 
-1 -0 
-0.400612 -0.916248 
-0.570326 0.821418 
0.442662 0.896689 
-1 -0 
-1 -0 
-0.494773 -0.869022 
-0.511726 0.859149 
-0.490296 0.871556 
-1 -0 
-0.512188 -0.858874 
-1 -0 
-0.509538 -0.860448 
-0.477117 0.87884 
-0.471707 0.881755 
-1 -0 
-0.505131 -0.863043 
-1 -0 
-0.502615 -0.86451 
-0.470359 0.882475 
-0.471579 0.881824 
-1 -0 
-0.500787 -0.865571 
-1 -0 
-0.500369 -0.865812 
-0.476354 0.879254 
-0.481291 0.876561 
-1 -0 
-0.49963 -0.866239 
-1 -0 
-0.497992 -0.867181 
-0.486612 0.873618 
-0.485198 0.874404 
-1 -0 
-0.491969 -0.870613 
-1 -0 
-0.475492 -0.87972 
-0.489198 0.872173 
-0.501562 0.865122 
-1 -0 
-0.404633 -0.914479 
-0.707107 -0.707107 
-0.094822 -0.995494 
-0.60498 0.79624 
0.707107 0.707107 
-0.918382 0.395694 
0 1 
0.815937 0.57814 
0.899444 -0.437036 
0 1 
-0.873152 0.487448 
0 1 
0.848452 0.529273 
0.855204 0.518292 
0.865413 -0.501059 
0 1 
-0.869088 0.494658 
0 1 
0.85601 0.51696 
0.854012 0.520253 
-0.875513 0.483195 
0 1 
-0.888943 0.458019 
0 1 
0.855498 0.517805 
0.855473 0.517847 
-0.92341 0.383814 
0 1 
-0.996503 0.0835613 
0.79334 0.608779 
0.707107 -0.707107 
0.389818 0.920892 
-1 -0 
-0.707107 -0.707107 
-0.604425 0.796662 
-0.0966871 -0.995315 
0.585729 -0.810507 
0.426044 0.904703 
-1 -0 
-0.407794 -0.913074 
-0.500161 0.865932 
0.463464 0.886116 
-1 -0 
0.533119 -0.846041 
-0.478366 -0.878161 
-0.488095 0.87279 
0.507143 -0.861862 
0.468119 0.883665 
-1 -0 
-0.493878 -0.869531 
-0.485651 0.874153 
0.474318 0.880354 
-1 -0 
0.490928 -0.8712 
-0.49893 -0.866642 
-0.489739 0.871869 
0.483737 -0.875213 
-1 -0 
0.483248 0.875484 
-0.501464 -0.865179 
-0.489987 0.87173 
-1 -0 
0.49094 0.871193 
0.479845 -0.877353 
-0.503518 -0.863985 
