+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 25-05-2019_17-24-47

	inpoed array

0 119 1 3 
0 173 2 2 
1 67 3 1 
1 293 0 0 
1 140 1 3 
2 66 4 2 
2 141 2 2 
3 4 4 2 
3 260 0 0 
3 118 3 1 
4 5 4 2 
4 174 0 0 
4 260 0 0 
5 174 0 0 
5 6 4 2 
5 261 0 0 
6 7 4 2 
6 175 0 0 
6 261 0 0 
7 175 0 0 
7 8 4 2 
7 262 0 0 
8 9 4 2 
8 176 0 0 
8 262 0 0 
9 176 0 0 
9 10 4 2 
9 263 0 0 
10 11 4 2 
10 177 0 0 
10 263 0 0 
11 177 0 0 
11 12 4 2 
11 264 0 0 
12 13 4 2 
12 178 0 0 
12 264 0 0 
13 178 0 0 
13 14 4 2 
13 265 0 0 
14 15 4 2 
14 179 0 0 
14 265 0 0 
15 179 0 0 
15 16 4 2 
15 266 0 0 
16 17 4 2 
16 180 0 0 
16 266 0 0 
17 180 0 0 
17 18 4 2 
17 267 0 0 
18 19 4 2 
18 181 0 0 
18 267 0 0 
19 181 0 0 
19 20 4 2 
19 268 0 0 
20 21 4 2 
20 182 0 0 
20 268 0 0 
21 182 0 0 
21 22 4 2 
21 269 0 0 
22 23 4 2 
22 183 0 0 
22 269 0 0 
23 183 0 0 
23 24 4 2 
23 270 0 0 
24 25 4 2 
24 184 0 0 
24 270 0 0 
25 184 0 0 
25 26 4 2 
25 271 0 0 
26 27 4 2 
26 185 0 0 
26 271 0 0 
27 185 0 0 
27 28 4 2 
27 272 0 0 
28 29 4 2 
28 186 0 0 
28 272 0 0 
29 186 0 0 
29 30 4 2 
29 273 0 0 
30 31 4 2 
30 187 0 0 
30 273 0 0 
31 187 0 0 
31 32 4 2 
31 274 0 0 
32 33 4 2 
32 188 0 0 
32 274 0 0 
33 188 0 0 
33 34 4 2 
33 275 0 0 
34 35 4 2 
34 189 0 0 
34 275 0 0 
35 189 0 0 
35 36 4 2 
35 276 0 0 
36 37 4 2 
36 190 0 0 
36 276 0 0 
37 190 0 0 
37 38 4 2 
37 277 0 0 
38 39 4 2 
38 191 0 0 
38 277 0 0 
39 191 0 0 
39 40 4 2 
39 278 0 0 
40 41 4 2 
40 192 0 0 
40 278 0 0 
41 192 0 0 
41 42 4 2 
41 279 0 0 
42 43 4 2 
42 193 0 0 
42 279 0 0 
43 193 0 0 
43 44 4 2 
43 280 0 0 
44 45 4 2 
44 194 0 0 
44 280 0 0 
45 194 0 0 
45 46 4 2 
45 281 0 0 
46 47 4 2 
46 195 0 0 
46 281 0 0 
47 195 0 0 
47 48 4 2 
47 282 0 0 
48 49 4 2 
48 196 0 0 
48 282 0 0 
49 196 0 0 
49 50 4 2 
49 283 0 0 
50 51 4 2 
50 197 0 0 
50 283 0 0 
51 197 0 0 
51 52 4 2 
51 284 0 0 
52 53 4 2 
52 198 0 0 
52 284 0 0 
53 198 0 0 
53 54 4 2 
53 285 0 0 
54 55 4 2 
54 199 0 0 
54 285 0 0 
55 199 0 0 
55 56 4 2 
55 286 0 0 
56 57 4 2 
56 200 0 0 
56 286 0 0 
57 200 0 0 
57 58 4 2 
57 287 0 0 
58 59 4 2 
58 201 0 0 
58 287 0 0 
59 201 0 0 
59 60 4 2 
59 288 0 0 
60 61 4 2 
60 202 0 0 
60 288 0 0 
61 202 0 0 
61 62 4 2 
61 289 0 0 
62 63 4 2 
62 203 0 0 
62 289 0 0 
63 203 0 0 
63 64 4 2 
63 290 0 0 
64 65 4 2 
64 204 0 0 
64 290 0 0 
65 204 0 0 
65 66 4 2 
65 291 0 0 
66 141 0 0 
66 244 0 0 
66 291 0 0 
67 68 3 1 
67 205 0 0 
67 293 0 0 
68 205 0 0 
68 292 0 0 
68 69 3 1 
69 70 3 1 
69 206 0 0 
69 292 0 0 
70 206 0 0 
70 71 3 1 
70 294 0 0 
71 72 3 1 
71 207 0 0 
71 294 0 0 
72 207 0 0 
72 73 3 1 
72 295 0 0 
73 74 3 1 
73 208 0 0 
73 295 0 0 
74 208 0 0 
74 75 3 1 
74 296 0 0 
75 76 3 1 
75 209 0 0 
75 296 0 0 
76 209 0 0 
76 77 3 1 
76 297 0 0 
77 78 3 1 
77 210 0 0 
