+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 25-05-2019_17-24-47

	normalVector array

0 -1 
-0.999929 0.011896 
0.999891 -0.0147495 
0.667617 0.744505 
-3.12757e-12 -1 
1 -6.47112e-14 
-0.0485878 0.998819 
1 -5.01089e-13 
0.669142 0.743135 
0.0155894 -0.999878 
1 -0 
0.549341 0.835598 
0.375681 -0.926749 
0.442196 -0.896919 
1 -0 
0.549739 0.835337 
1 -0 
0.550736 0.834679 
0.454547 -0.890723 
0.486176 -0.873861 
1 -0 
0.56663 0.823972 
1 -0 
0.541042 0.840996 
0.475419 -0.87976 
0.485929 -0.873999 
1 -0 
0.536158 0.844118 
1 -0 
0.516298 0.856409 
0.480308 -0.8771 
0.502627 -0.864503 
1 -0 
0.509145 0.860681 
1 -0 
0.519827 0.854271 
0.49102 -0.871148 
0.494471 -0.869194 
1 -0 
0.498034 0.867157 
1 -0 
0.502488 0.864584 
0.505679 -0.862721 
0.50184 -0.864961 
1 -0 
0.50484 0.863213 
1 -0 
0.511249 0.859432 
0.499913 -0.866076 
0.496845 -0.867839 
1 -0 
0.495806 0.868433 
1 -0 
0.501792 0.864989 
0.512548 -0.858658 
0.501014 -0.865439 
1 -0 
0.514108 0.857725 
1 -0 
0.511205 0.859459 
0.4958 -0.868437 
0.50821 -0.861233 
1 -0 
0.507571 0.86161 
1 -0 
0.494483 0.869187 
0.511868 -0.859064 
0.515 -0.85719 
1 -0 
0.497827 0.867276 
1 -0 
0.50034 0.865829 
0.503654 -0.863905 
0.500211 -0.865904 
1 -0 
0.502028 0.864851 
1 -0 
0.505915 0.862584 
0.498533 -0.866871 
0.499172 -0.866503 
1 -0 
0.518109 0.855315 
1 -0 
0.509497 0.860473 
0.495618 -0.868541 
0.504427 -0.863455 
1 -0 
0.503028 0.86427 
1 -0 
0.495257 0.868747 
0.51109 -0.859527 
0.520101 -0.854105 
1 -0 
0.502362 0.864657 
1 -0 
0.507984 0.861366 
0.504308 -0.863524 
0.495158 -0.868803 
1 -0 
0.504234 0.863567 
1 -0 
0.490452 0.871468 
0.513868 -0.857869 
0.521772 -0.853085 
1 -0 
0.495844 0.868412 
1 -0 
0.498795 0.86672 
0.5105 -0.859878 
0.505796 -0.862653 
1 -0 
0.502781 0.864414 
1 -0 
0.510547 0.85985 
0.501097 -0.865391 
0.488678 -0.872464 
1 -0 
0.50681 0.862058 
1 -0 
0.506416 0.862289 
0.499935 -0.866063 
0.509278 -0.860602 
1 -0 
0.495875 0.868394 
