+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 25-05-2019_18-42-40

	ineled array

60 -174 
60 -174 
126 -174 
126 179 
179 -174 
31 -174 
31 -174 
90 -174 
90 161 
161 -174 
0 -174 
0 160 
90 160 
0 197 
91 -174 
91 197 
1 -174 
1 122 
91 122 
1 198 
92 -174 
92 198 
2 -174 
2 272 
92 272 
2 199 
93 -174 
93 199 
3 -174 
3 273 
93 273 
3 200 
94 -174 
94 200 
4 -174 
4 274 
94 274 
4 201 
95 -174 
95 201 
5 -174 
5 275 
95 275 
5 202 
96 -174 
96 202 
6 -174 
6 276 
96 276 
6 203 
97 -174 
97 203 
7 -174 
7 277 
97 277 
7 204 
98 -174 
98 204 
8 -174 
8 278 
98 278 
8 205 
99 -174 
99 205 
9 -174 
9 279 
99 279 
9 206 
100 -174 
100 206 
10 -174 
10 280 
100 280 
10 207 
101 -174 
101 207 
11 -174 
11 281 
101 281 
11 208 
102 -174 
102 208 
12 -174 
12 282 
102 282 
12 209 
103 -174 
103 209 
13 -174 
13 283 
103 283 
13 210 
104 -174 
104 210 
14 -174 
14 284 
104 284 
14 211 
105 -174 
105 211 
15 -174 
15 285 
105 285 
15 212 
106 -174 
106 212 
16 -174 
16 286 
106 286 
16 213 
107 -174 
107 213 
17 -174 
17 287 
107 287 
17 214 
108 -174 
108 214 
18 -174 
18 288 
108 288 
18 215 
109 -174 
109 215 
19 -174 
19 289 
109 289 
19 216 
110 -174 
110 216 
20 -174 
20 290 
110 290 
20 217 
111 -174 
111 217 
21 -174 
21 291 
111 291 
21 218 
112 -174 
112 218 
22 -174 
22 292 
112 292 
22 219 
113 -174 
113 219 
23 -174 
23 293 
113 293 
23 220 
114 -174 
114 220 
24 -174 
24 294 
114 294 
24 221 
116 -174 
116 221 
25 -174 
25 115 
115 116 
25 222 
117 -174 
117 222 
26 -174 
26 318 
117 318 
26 223 
118 -174 
118 223 
27 -174 
27 295 
118 295 
27 224 
119 -174 
119 224 
28 -174 
28 296 
119 296 
28 225 
120 -174 
120 225 
29 -174 
29 297 
120 297 
29 226 
121 -174 
121 226 
30 -174 
30 298 
121 298 
30 227 
123 -174 
123 227 
31 88 
88 369 
123 369 
32 -174 
32 180 
126 180 
32 124 
124 125 
125 -174 
33 -174 
33 127 
125 127 
33 228 
128 -174 
128 228 
34 -174 
34 129 
128 129 
34 229 
130 -174 
130 229 
35 -174 
35 319 
130 319 
35 230 
131 -174 
131 230 
36 -174 
36 299 
131 299 
36 231 
132 -174 
132 231 
37 -174 
37 300 
132 300 
37 232 
133 -174 
133 232 
38 -174 
38 301 
133 301 
38 233 
135 -174 
135 233 
39 -174 
39 134 
134 135 
39 234 
136 -174 
136 234 
40 -174 
40 320 
136 320 
40 235 
137 -174 
137 235 
41 -174 
41 302 
137 302 
41 236 
138 -174 
138 236 
42 -174 
42 303 
138 303 
42 139 
43 -174 
43 139 
43 140 
44 -174 
44 140 
44 237 
141 -174 
141 237 
45 -174 
45 322 
141 322 
45 142 
46 -174 
46 142 
46 238 
143 -174 
143 238 
47 -174 
47 323 
143 323 
47 239 
144 -174 
144 239 
48 -174 
48 321 
144 321 
48 145 
49 -174 
49 145 
49 240 
146 -174 
146 240 
50 -174 
50 324 
146 324 
50 241 
148 -174 
148 241 
51 -174 
51 147 
147 148 
51 242 
149 -174 
149 242 
52 -174 
52 325 
149 325 
52 243 
150 -174 
150 243 
53 -174 
53 304 
150 304 
53 244 
152 -174 
152 244 
54 -174 
54 151 
151 152 
54 245 
153 -174 
153 245 
55 -174 
55 326 
153 326 
55 246 
155 -174 
155 246 
56 -174 
56 154 
154 155 
56 247 
156 -174 
156 247 
57 -174 
57 327 
156 327 
57 248 
157 -174 
157 248 
58 -174 
58 305 
157 305 
58 249 
159 -174 
159 249 
59 -174 
59 158 
158 159 
59 593 
161 593 
60 89 
61 -174 
61 89 
61 162 
162 163 
163 -174 
62 -174 
62 164 
163 164 
62 250 
165 -174 
165 250 
63 -174 
63 331 
165 331 
63 251 
166 -174 
166 251 
64 -174 
64 330 
166 330 
64 252 
167 -174 
167 252 
65 -174 
65 329 
167 329 
65 253 
168 -174 
168 253 
66 -174 
66 328 
168 328 
66 254 
170 -174 
170 254 
67 -174 
67 169 
169 170 
67 433 
172 -174 
172 433 
68 -174 
68 171 
171 172 
68 435 
174 -174 
174 435 
69 -174 
69 173 
173 174 
69 478 
176 -174 
176 576 
478 576 
70 -174 
70 175 
175 176 
70 438 
178 -174 
178 438 
71 -174 
71 177 
177 178 
71 255 
179 255 
72 -174 
72 88 
72 256 
181 -174 
181 256 
73 -174 
73 334 
181 334 
73 257 
182 -174 
182 257 
74 -174 
74 333 
182 333 
74 258 
183 -174 
183 258 
75 -174 
75 332 
183 332 
75 259 
184 -174 
184 259 
76 -174 
76 306 
184 306 
76 260 
185 -174 
185 260 
77 -174 
77 307 
185 307 
77 261 
186 -174 
186 261 
78 -174 
78 308 
186 308 
78 262 
187 -174 
187 262 
79 -174 
79 309 
187 309 
79 263 
188 -174 
188 263 
80 -174 
80 310 
188 310 
80 264 
189 -174 
189 264 
81 -174 
81 311 
189 311 
81 265 
190 -174 
190 265 
82 -174 
82 312 
190 312 
82 266 
191 -174 
191 266 
83 -174 
83 313 
191 313 
83 267 
192 -174 
192 267 
84 -174 
84 314 
192 314 
84 268 
193 -174 
193 268 
85 -174 
85 315 
193 315 
85 269 
194 -174 
194 269 
86 -174 
86 316 
194 316 
86 270 
195 -174 
195 270 
87 -174 
87 317 
195 317 
87 271 
196 -174 
196 271 
89 439 
196 439 
160 644 
197 592 
592 645 
644 645 
122 367 
198 335 
335 368 
367 368 
199 337 
272 468 
337 470 
468 470 
200 338 
273 503 
338 646 
503 646 
201 339 
274 504 
339 577 
504 577 
202 340 
275 505 
340 575 
505 575 
203 341 
276 506 
341 591 
506 591 
204 342 
277 507 
342 589 
507 589 
205 343 
278 508 
343 614 
508 614 
206 344 
279 509 
344 613 
509 613 
207 345 
280 510 
345 612 
510 612 
208 346 
281 511 
346 611 
511 611 
209 347 
282 512 
347 610 
512 610 
210 348 
283 513 
348 609 
513 609 
211 349 
284 514 
349 608 
514 608 
212 350 
285 515 
350 607 
515 607 
213 351 
286 516 
351 606 
516 606 
214 352 
287 517 
352 605 
517 605 
215 353 
288 518 
353 604 
518 604 
216 354 
289 519 
354 603 
519 603 
217 355 
290 520 
355 602 
520 602 
218 356 
291 521 
356 601 
521 601 
219 357 
292 522 
357 600 
522 600 
220 358 
293 523 
358 599 
523 599 
221 359 
294 525 
359 524 
524 525 
115 487 
222 361 
361 489 
487 489 
223 526 
318 590 
526 649 
590 649 
224 529 
295 360 
360 634 
529 634 
225 530 
296 363 
363 632 
530 632 
226 531 
297 364 
364 631 
531 631 
227 441 
298 365 
365 628 
441 628 
124 370 
180 374 
370 479 
374 479 
127 372 
228 336 
336 373 
372 373 
129 534 
229 490 
490 652 
534 652 
230 375 
319 362 
362 572 
375 572 
231 538 
299 366 
366 627 
538 627 
232 379 
300 378 
378 533 
379 533 
233 381 
301 380 
380 541 
381 541 
134 492 
234 386 
386 494 
492 494 
235 383 
320 377 
377 384 
383 384 
236 545 
302 382 
382 626 
545 626 
139 549 
303 388 
388 594 
549 594 
140 472 
472 615 
549 615 
237 389 
389 473 
472 473 
142 392 
322 395 
392 397 
395 397 
238 474 
392 546 
474 546 
239 475 
323 391 
391 476 
475 476 
145 398 
321 387 
387 399 
398 399 
240 394 
394 400 
398 400 
241 595 
324 393 
393 596 
595 596 
147 495 
242 405 
405 547 
495 547 
243 402 
325 401 
401 403 
402 403 
244 407 
304 390 
390 557 
407 557 
151 496 
245 409 
409 498 
496 498 
246 558 
326 406 
406 624 
558 624 
154 499 
247 414 
414 554 
499 554 
248 411 
327 410 
410 412 
411 412 
249 562 
305 408 
408 623 
562 623 
158 500 
500 629 
593 644 
629 645 
162 471 
439 467 
467 471 
164 420 
250 418 
418 421 
420 421 
251 419 
331 424 
419 425 
424 425 
252 423 
330 570 
423 749 
570 749 
253 426 
329 429 
426 431 
429 431 
254 428 
328 416 
416 559 
428 559 
169 501 
433 573 
501 625 
573 625 
171 432 
432 482 
435 481 
481 482 
173 434 
434 574 
478 480 
480 574 
175 436 
436 485 
438 484 
484 485 
177 437 
255 374 
437 571 
479 571 
256 442 
369 440 
440 442 
257 371 
334 445 
371 447 
445 447 
258 443 
333 451 
443 453 
451 453 
259 448 
332 422 
422 449 
448 449 
260 578 
306 417 
417 647 
578 647 
261 579 
307 454 
454 667 
579 667 
262 580 
308 455 
455 668 
580 668 
263 581 
309 456 
456 669 
581 669 
264 582 
310 457 
457 670 
582 670 
265 583 
311 458 
458 671 
583 671 
266 584 
312 459 
459 672 
584 672 
267 585 
313 460 
460 619 
585 619 
268 586 
314 461 
461 618 
586 618 
269 587 
315 462 
462 617 
587 617 
270 588 
316 463 
463 616 
588 616 
271 465 
317 464 
464 466 
465 466 
367 673 
592 673 
335 469 
468 469 
337 565 
503 565 
338 567 
504 567 
339 566 
505 566 
340 564 
506 564 
341 563 
507 563 
342 561 
508 561 
343 560 
509 560 
344 556 
510 556 
345 555 
511 555 
346 553 
512 553 
347 551 
513 551 
348 550 
514 550 
349 543 
