+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 02-04-2019_23-38-00

	normalVector array

0 1 
-1 1.3878e-15 
-0.707107 -0.707107 
-1 -1.3878e-15 
0 -1 
-1 -0 
-0.707107 -0.707107 
0 1 
0 -1 
1 -0 
1 -0 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
1 -0 
0 1 
0 1 
1 -0 
0 1 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 -0.707107 
-1 -0 
0 1 
0 1 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
-1 -0 
0 1 
-0.707107 -0.707107 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
-0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
1 -0 
