+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 25-05-2019_16-50-38

	normalVector array

-8.8243e-14 -1 
-0.999995 0.00300858 
0.999923 -0.012448 
-3.65377e-12 -1 
1 -8.29159e-13 
0.012529 -0.999922 
1 -1.93553e-13 
-0.0138399 0.999904 
0.704604 0.709601 
1 -0 
0.621341 -0.78354 
0.0946052 0.995515 
0.442964 0.89654 
1 -0 
0.482618 -0.875831 
0.498054 0.867146 
1 -0 
0.458316 -0.888789 
0.50937 0.860547 
1 -0 
0.48223 -0.876044 
0.510257 0.860022 
1 -0 
0.484043 -0.875044 
0.506464 0.862261 
1 -0 
0.483865 -0.875143 
0.504255 0.863555 
1 -0 
0.486253 -0.873818 
0.502855 0.864371 
1 -0 
0.490096 -0.871668 
0.502169 0.86477 
1 -0 
0.493889 -0.869525 
0.501723 0.865028 
1 -0 
0.496939 -0.867786 
0.501569 0.865118 
1 -0 
0.498875 -0.866674 
0.501491 0.865163 
1 -0 
0.500118 -0.865957 
0.501464 0.865179 
1 -0 
0.500706 -0.865617 
0.501379 0.865228 
1 -0 
0.501055 -0.865415 
0.501354 0.865242 
1 -0 
0.501104 -0.865387 
0.501328 0.865257 
1 -0 
0.501203 -0.86533 
0.501353 0.865243 
1 -0 
0.501152 -0.865359 
0.501377 0.865229 
1 -0 
0.501254 -0.8653 
0.501403 0.865214 
1 -0 
0.501282 -0.865284 
0.501356 0.865241 
1 -0 
0.501305 -0.86527 
0.501455 0.865184 
1 -0 
0.501325 -0.865259 
0.501399 0.865216 
1 -0 
0.501412 -0.865208 
0.501412 0.865208 
1 -0 
0.501346 -0.865247 
0.501421 0.865203 
1 -0 
0.501426 -0.8652 
0.501426 0.8652 
1 -0 
0.501355 -0.865242 
0.50143 0.865198 
1 -0 
0.501431 -0.865197 
0.501431 0.865197 
1 -0 
0.501358 -0.86524 
0.501433 0.865197 
1 -0 
0.501433 -0.865196 
0.501433 0.865196 
1 -0 
0.501358 -0.86524 
0.501433 0.865196 
1 -0 
0.501434 -0.865196 
0.501434 0.865196 
1 -0 
0.501359 -0.86524 
0.501434 0.865196 
1 -0 
0.501434 -0.865196 
0.501434 0.865196 
1 -0 
0.501359 -0.86524 
0.501434 0.865196 
1 -0 
0.501434 -0.865196 
0.501434 0.865196 
1 -0 
0.501359 -0.86524 
0.501434 0.865196 
1 -0 
0.501434 -0.865196 
0.501434 0.865196 
1 -0 
0.501359 -0.86524 
