+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 24-05-2019_05-33-50

	inedel array

10 442 11 0 
13 445 14 0 
16 448 17 0 
19 451 20 0 
22 454 23 0 
25 457 26 0 
28 460 29 0 
31 463 32 0 
34 466 35 0 
37 469 38 0 
40 472 41 0 
43 475 44 0 
46 478 47 0 
49 481 50 0 
52 484 53 0 
55 487 56 0 
58 490 59 0 
61 493 62 0 
64 496 65 0 
67 499 68 0 
70 502 71 0 
73 505 74 0 
76 508 77 0 
79 511 80 0 
82 514 83 0 
85 517 86 0 
88 520 89 0 
91 523 92 0 
94 526 95 0 
97 529 98 0 
100 532 101 0 
103 535 104 0 
106 538 107 0 
109 541 110 0 
112 544 113 0 
115 547 116 0 
118 550 119 0 
121 553 122 0 
124 556 125 0 
127 559 128 0 
130 562 131 0 
133 565 134 0 
136 568 137 0 
139 571 140 0 
142 574 143 0 
145 577 146 0 
148 580 149 0 
151 583 152 0 
154 441 155 0 
367 370 368 0 
443 587 444 0 
446 590 447 0 
449 593 450 0 
452 596 453 0 
455 599 456 0 
458 602 459 0 
461 605 462 0 
464 608 465 0 
467 611 468 0 
470 614 471 0 
473 617 474 0 
476 620 477 0 
479 623 480 0 
482 626 483 0 
485 629 486 0 
488 632 489 0 
491 635 492 0 
494 638 495 0 
497 641 498 0 
500 644 501 0 
503 647 504 0 
506 650 507 0 
509 653 510 0 
512 656 513 0 
515 659 516 0 
518 662 519 0 
521 665 522 0 
524 668 525 0 
527 671 528 0 
530 674 531 0 
533 677 534 0 
536 680 537 0 
539 683 540 0 
542 686 543 0 
545 689 546 0 
548 692 549 0 
551 695 552 0 
554 698 555 0 
557 701 558 0 
560 704 561 0 
563 707 564 0 
566 710 567 0 
569 713 570 0 
572 716 573 0 
575 719 576 0 
578 722 579 0 
581 725 582 0 
584 728 585 0 
438 439 586 0 
364 369 365 0 
588 732 589 0 
591 735 592 0 
594 738 595 0 
597 741 598 0 
600 744 601 0 
603 747 604 0 
606 750 607 0 
609 753 610 0 
612 756 613 0 
615 759 616 0 
618 762 619 0 
621 765 622 0 
624 768 625 0 
627 771 628 0 
630 774 631 0 
633 777 634 0 
636 780 637 0 
639 783 640 0 
642 786 643 0 
645 789 646 0 
648 792 649 0 
651 795 652 0 
654 798 655 0 
657 801 658 0 
660 804 661 0 
663 807 664 0 
666 810 667 0 
669 813 670 0 
672 816 673 0 
675 819 676 0 
678 822 679 0 
681 825 682 0 
684 828 685 0 
687 831 688 0 
690 834 691 0 
693 837 694 0 
696 840 697 0 
699 843 700 0 
702 846 703 0 
705 849 706 0 
708 852 709 0 
711 855 712 0 
714 858 715 0 
717 861 718 0 
720 864 721 0 
723 867 724 0 
726 870 727 0 
729 873 730 0 
435 436 731 0 
361 366 362 0 
733 877 734 0 
736 880 737 0 
739 883 740 0 
742 886 743 0 
745 889 746 0 
748 892 749 0 
751 895 752 0 
754 898 755 0 
757 901 758 0 
760 904 761 0 
763 907 764 0 
766 910 767 0 
769 913 770 0 
772 916 773 0 
775 919 776 0 
778 922 779 0 
781 925 782 0 
784 928 785 0 
787 931 788 0 
790 934 791 0 
793 937 794 0 
796 940 797 0 
799 943 800 0 
802 946 803 0 
805 949 806 0 
808 952 809 0 
811 955 812 0 
814 958 815 0 
817 961 818 0 
820 964 821 0 
823 967 824 0 
826 970 827 0 
829 973 830 0 
832 976 833 0 
835 979 836 0 
838 982 839 0 
841 985 842 0 
844 988 845 0 
847 991 848 0 
850 994 851 0 
853 997 854 0 
856 1000 857 0 
859 1003 860 0 
862 1006 863 0 
865 1009 866 0 
868 1012 869 0 
871 1015 872 0 
874 1018 875 0 
432 433 876 0 
358 363 359 0 
878 1022 879 0 
881 1025 882 0 
884 1028 885 0 
887 1031 888 0 
890 1034 891 0 
893 1037 894 0 
896 1040 897 0 
899 1043 900 0 
902 1046 903 0 
905 1049 906 0 
908 1052 909 0 
911 1055 912 0 
914 1058 915 0 
917 1061 918 0 
920 1064 921 0 
923 1067 924 0 
926 1070 927 0 
929 1073 930 0 
932 1076 933 0 
935 1079 936 0 
938 1082 939 0 
941 1085 942 0 
944 1088 945 0 
947 1091 948 0 
950 1094 951 0 
953 1097 954 0 
956 1100 957 0 
