+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 09-04-2019_16-10-55

	normalVector array

-0.664496 0.747292 
-0.999951 0.00992312 
1.40795e-12 -1 
1.82695e-12 -1 
0.999876 -0.015757 
0.649216 0.760604 
1 8.89672e-13 
0.015757 -0.999876 
-0.0257758 0.999668 
1 -1.39156e-13 
0.626711 0.779252 
-0.999689 -0.0249474 
0.0471118 -0.99889 
0.603175 0.797609 
-0.998755 -0.049875 
0.0784661 -0.996917 
0.578716 0.815529 
-0.997202 -0.0747542 
0.109665 -0.993969 
0.553196 0.833051 
-0.995028 -0.0995931 
0.140858 -0.99003 
0.526751 0.85002 
-0.992237 -0.124361 
0.172049 -0.985088 
0.499518 0.866303 
-0.988833 -0.149027 
0.202775 -0.979225 
0.47118 0.882037 
-0.984815 -0.173604 
0.233334 -0.972397 
0.441778 0.897124 
-0.980184 -0.198089 
0.26389 -0.964553 
0.411648 0.911343 
-0.974937 -0.222483 
0.294122 -0.955768 
0.380558 0.924757 
-0.969096 -0.246684 
0.323895 -0.946093 
0.348562 0.937286 
-0.96262 -0.270856 
0.353496 -0.935436 
0.315735 0.948848 
-0.95553 -0.294894 
0.382631 -0.923901 
0.282034 0.959404 
-0.947814 -0.318824 
0.411577 -0.911375 
0.247662 0.968846 
-0.939478 -0.342609 
0.439928 -0.898033 
0.212473 0.977167 
-0.93048 -0.366343 
0.467936 -0.883762 
0.176562 0.984289 
-0.920824 -0.389979 
0.495484 -0.868617 
0.140066 0.990142 
-0.910443 -0.413634 
0.522409 -0.852695 
0.102812 0.994701 
-0.899429 -0.437067 
0.549032 -0.835801 
0.0652221 0.997871 
-0.887723 -0.460379 
0.575064 -0.818109 
0.0271565 0.999631 
-0.875163 -0.483828 
0.600407 -0.799694 
-0.0113536 0.999936 
-0.861789 -0.507267 
0.625161 -0.780496 
-0.0501575 0.998741 
-0.847713 -0.530455 
0.649545 -0.760323 
-0.089072 0.996025 
-0.832773 -0.553614 
0.672974 -0.739666 
-0.128193 0.991749 
-0.816892 -0.576791 
0.695959 -0.718081 
-0.167224 0.985919 
-0.800139 -0.599815 
0.718081 -0.695959 
-0.206217 0.978506 
-0.782544 -0.622596 
0.739666 -0.672974 
-0.245109 0.969495 
-0.763686 -0.645588 
0.760323 -0.649545 
-0.283743 0.9589 
-0.743876 -0.668318 
0.780496 -0.625161 
-0.321859 0.946788 
-0.723035 -0.690812 
0.799694 -0.600407 
-0.359645 0.933089 
-0.700903 -0.713257 
0.818109 -0.575064 
-0.396882 0.91787 
-0.677534 -0.735491 
0.835801 -0.549032 
-0.433249 0.901274 
-0.653301 -0.757099 
0.852695 -0.522409 
-0.46891 0.883246 
-0.627374 -0.778718 
0.868617 -0.495484 
-0.503781 0.863832 
-0.600284 -0.799787 
0.883762 -0.467936 
-0.537728 0.843118 
-0.571808 -0.820387 
0.898033 -0.439928 
-0.570612 0.82122 
-0.542074 -0.840331 
0.911375 -0.411577 
-0.602498 0.79812 
-0.510924 -0.859626 
0.923901 -0.382631 
-0.633136 0.77404 
-0.478379 -0.878153 
0.935436 -0.353496 
-0.662569 0.749001 
-0.444452 -0.895803 
0.946093 -0.323895 
-0.690841 0.723007 
-0.409083 -0.912497 
0.955768 -0.294122 
-0.717853 0.696195 
-0.37262 -0.927984 
0.964553 -0.26389 
-0.743468 0.668771 
-0.334814 -0.942284 
0.972397 -0.233334 
-0.767807 0.640681 
-0.295678 -0.955288 
0.979225 -0.202775 
-0.790747 0.612143 
-0.255635 -0.966773 
0.985088 -0.172049 
-0.8125 0.582961 
-0.214621 -0.976697 
0.99003 -0.140858 
-0.832815 0.553552 
-0.172786 -0.984959 
0.993969 -0.109665 
-0.851786 0.523889 
-0.130165 -0.991492 
0.996917 -0.0784661 
-0.869439 0.49404 
-0.0870894 -0.9962 
0.99889 -0.0471118 
-0.885869 0.463935 
-0.043625 -0.999048 
0.878044 0.47858 
-0.0772608 0.997011 
-0.999689 -0.0249483 
0.862842 0.505473 
-0.128147 0.991755 
-0.998756 -0.0498732 
0.846711 0.532054 
-0.178298 0.983977 
-0.997202 -0.0747595 
0.829633 0.55831 
-0.227385 0.973805 
-0.995028 -0.0995967 
0.811614 0.584194 
-0.275075 0.961423 
-0.992237 -0.124359 
0.792679 0.60964 
-0.321296 0.946979 
-0.988832 -0.149036 
0.77281 0.634637 
-0.36578 0.930701 
-0.984815 -0.173608 
0.752013 0.659149 
-0.408331 0.912834 
-0.980188 -0.198071 
0.730293 0.683134 
-0.449104 0.893479 
-0.974938 -0.222477 
0.707599 0.706614 
-0.487796 0.872958 
-0.969085 -0.246729 
0.683963 0.729516 
-0.524432 0.851452 
-0.96262 -0.270856 
0.659386 0.751804 
-0.55918 0.829046 
-0.955535 -0.294876 
0.633809 0.77349 
-0.59186 0.806041 
-0.947818 -0.318813 
0.607197 0.794551 
-0.622687 0.782471 
-0.939463 -0.342652 
0.579629 0.814881 
-0.651564 0.758593 
-0.930469 -0.36637 
0.551011 0.834498 
-0.67872 0.734397 
-0.920826 -0.389974 
0.521378 0.853326 
-0.704137 0.710064 
-0.910476 -0.413563 
0.490637 0.871364 
-0.727936 0.685645 
-0.899421 -0.437084 
0.458876 0.8885 
-0.750195 0.661216 
-0.887662 -0.460495 
0.426093 0.904679 
-0.770955 0.63689 
-0.875153 -0.483846 
0.392282 0.919845 
-0.790373 0.612626 
-0.861857 -0.507151 
0.357417 0.933945 
-0.808494 0.588504 
-0.847738 -0.530415 
0.321641 0.946862 
-0.825404 0.564543 
-0.832815 -0.553552 
0.284898 0.958558 
-0.841107 0.540869 
-0.816959 -0.576696 
0.247316 0.968935 
-0.855784 0.517333 
-0.800206 -0.599726 
0.2089 0.977937 
-0.869474 0.493979 
-0.782457 -0.622705 
0.169733 0.98549 
-0.882161 0.470948 
-0.763737 -0.645528 
0.129925 0.991524 
-0.893987 0.448093 
-0.743895 -0.668297 
0.089613 0.995977 
-0.904956 0.425505 
-0.723012 -0.690835 
0.0489007 0.998804 
-0.915155 0.403102 
-0.700953 -0.713207 
0.00782309 0.999969 
-0.924587 0.380971 
-0.677669 -0.735368 
-0.0333347 0.999444 
-0.93331 0.359073 
-0.653197 -0.757188 
-0.0746244 0.997212 
-0.941387 0.337328 
-0.62742 -0.778681 
-0.115712 0.993283 
-0.948803 0.315868 
-0.600336 -0.799748 
-0.156576 0.987666 
-0.955649 0.294507 
-0.571885 -0.820334 
-0.197049 0.980394 
-0.961903 0.273393 
-0.54208 -0.840327 
-0.237014 0.971506 
-0.967604 0.252473 
-0.510924 -0.859626 
-0.276288 0.961075 
-0.972789 0.231693 
-0.478355 -0.878167 
-0.314791 0.949161 
-0.977491 0.210975 
-0.444429 -0.895814 
-0.352423 0.935841 
-0.981692 0.190477 
-0.4091 -0.91249 
-0.389068 0.921209 
-0.985418 0.170152 
-0.372578 -0.928001 
-0.424619 0.905372 
-0.98871 0.149845 
-0.334738 -0.942311 
-0.459017 0.888427 
-0.991557 0.12967 
-0.295702 -0.95528 
-0.492213 0.870475 
-0.993981 0.109554 
-0.255653 -0.966769 
-0.524192 0.8516 
-0.99598 0.0895738 
-0.214615 -0.976699 
-0.554855 0.831947 
-0.997575 0.0695952 
-0.172735 -0.984968 
-0.584221 0.811594 
-0.998765 0.0496819 
-0.130169 -0.991492 
-0.612272 0.790648 
-0.999557 0.0297693 
-0.0870778 -0.996202 
-0.639041 0.769173 
-0.0436304 -0.999048 
0.0254236 -0.999677 
1 -0 
0.0250988 -0.999685 
1 -0 
0.874037 0.48586 
0.0247381 -0.999694 
1 -0 
0.869733 0.493522 
0.0242649 -0.999706 
1 -0 
0.86511 0.501582 
0.0239242 -0.999714 
1 -0 
0.860133 0.510069 
0.0234806 -0.999724 
1 -0 
0.854776 0.518997 
0.0232019 -0.999731 
1 -0 
0.849021 0.528359 
0.0227384 -0.999741 
1 -0 
0.842841 0.538163 
0.0222717 -0.999752 
1 -0 
0.836214 0.548403 
0.0219116 -0.99976 
1 -0 
0.829116 0.559076 
0.0214659 -0.99977 
1 -0 
0.821476 0.570243 
0.0210419 -0.999779 
1 -0 
0.813329 0.581804 
0.0206488 -0.999787 
1 -0 
0.804612 0.5938 
0.0201786 -0.999796 
1 -0 
0.795294 0.606224 
0.0198734 -0.999803 
1 -0 
0.785361 0.619038 
0.0192522 -0.999815 
1 -0 
0.774804 0.632201 
0.0189391 -0.999821 
1 -0 
0.763579 0.645715 
0.0184341 -0.99983 
1 -0 
0.7517 0.659505 
0.0181372 -0.999836 
1 -0 
0.739111 0.673584 
0.017789 -0.999842 
1 -0 
0.725778 0.687929 
0.0173891 -0.999849 
1 -0 
0.711806 0.702376 
0.0167892 -0.999859 
1 -0 
0.697176 0.7169 
0.0164354 -0.999865 
1 -0 
0.681858 0.731484 
0.665867 0.74607 
0.0161937 -0.999869 
-0.671942 0.740604 
0.999948 -0.0101964 
0 -1 
-0.67969 0.733499 
0.999947 -0.0103166 
0 -1 
-0.687697 0.725998 
0.999945 -0.0104916 
0 -1 
-0.69598 0.718062 
0.999942 -0.0108102 
0 -1 
-0.704565 0.709639 
0.99994 -0.0109574 
0 -1 
-0.713362 0.700796 
0.999937 -0.0112593 
0 -1 
-0.722436 0.691437 
0.999934 -0.0114636 
0 -1 
-0.731735 0.681589 
0.999932 -0.0116526 
0 -1 
-0.741207 0.671277 
0.999929 -0.0119234 
0 -1 
-0.750869 0.660451 
0.999926 -0.0121837 
0 -1 
-0.760714 0.649087 
0.999924 -0.0123262 
0 -1 
-0.770614 0.637302 
0.99992 -0.0126684 
0 -1 
-0.780608 0.62502 
0.999917 -0.0128906 
0 -1 
-0.790704 0.612199 
0.999914 -0.0130978 
0 -1 
-0.800776 0.598964 
0.99991 -0.0134109 
0 -1 
-0.81084 0.585267 
0.999906 -0.013715 
0 -1 
-0.820824 0.571182 
0.999904 -0.0138795 
0 -1 
-0.830706 0.556712 
0.9999 -0.014159 
0 -1 
-0.84053 0.541765 
0.999898 -0.0142896 
0 -1 
-0.850021 0.526749 
0.999894 -0.0145415 
0 -1 
-0.859397 0.511309 
0.999889 -0.0149254 
0 -1 
-0.86856 0.495584 
0.999887 -0.0150061 
0 -1 
-0.877357 0.479838 
0.999884 -0.0152178 
0 -1 
0.999881 -0.0154152 
0.0481148 -0.998842 
0.643527 0.765424 
-0.999689 -0.0249436 
0.0803493 -0.996767 
0.620179 0.78446 
-0.998756 -0.0498707 
0.112277 -0.993677 
0.595919 0.803045 
-0.997202 -0.0747565 
0.144205 -0.989548 
0.570635 0.821204 
-0.995027 -0.099604 
0.175828 -0.984421 
0.544435 0.838803 
-0.992238 -0.124356 
0.207153 -0.978309 
0.517287 0.855812 
-0.988832 -0.149032 
0.238473 -0.971149 
0.489041 0.872261 
-0.984813 -0.173621 
0.269483 -0.963005 
0.460001 0.887918 
