+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 12-04-2019_00-01-29

	normalVector array

0 1 
0.787457 0.61637 
-1 -0 
1 -0 
0.602971 -0.797763 
0 1 
0 -1 
-0.797702 -0.603052 
1 -0 
1 -0 
0.397205 -0.91773 
0 -1 
0.86066 -0.50918 
0.78086 0.624706 
0 -1 
1 -0 
0 -1 
-1 -0 
-0.707107 -0.707107 
0 -1 
0.914489 -0.404611 
-0.8277 -0.56117 
0 -1 
0.896145 -0.443761 
0 -1 
0.868271 -0.49609 
-0.866257 -0.499599 
-0.872854 -0.487982 
0 -1 
0.853481 -0.521123 
0 -1 
0.85136 -0.524582 
-0.872801 -0.488077 
-0.872374 -0.48884 
0 -1 
0.856036 -0.516917 
0 -1 
0.860945 -0.508697 
-0.871302 -0.490748 
-0.869844 -0.493326 
0 -1 
0.864056 -0.503396 
0 -1 
0.865737 -0.500499 
-0.868722 -0.495299 
-0.867669 -0.497142 
0 -1 
0.866234 -0.499638 
0 -1 
0.866394 -0.499361 
-0.867441 -0.49754 
-0.867428 -0.497563 
0 -1 
0.866567 -0.499061 
0 -1 
0.866988 -0.49833 
-0.86784 -0.496844 
-0.868155 -0.496293 
0 -1 
0.868057 -0.496465 
0 -1 
0.869384 -0.494136 
-0.86816 -0.496285 
-0.8673 -0.497786 
0 -1 
0.871848 -0.489776 
0 -1 
0.874365 -0.485269 
-0.865157 -0.501501 
-0.861914 -0.507055 
0 -1 
0.877714 -0.479186 
0 -1 
0.88095 -0.473208 
-0.858531 -0.512762 
-0.858031 -0.513598 
0 -1 
0.886184 -0.463333 
0 -1 
0.896581 -0.44288 
-0.861425 -0.507884 
-0.86035 -0.509704 
0 -1 
0.92673 -0.375728 
0.707107 -0.707107 
0.996488 -0.0837325 
-0.797492 -0.60333 
1 -0 
0.409082 0.912498 
0.564876 -0.825176 
1 -0 
0.455332 0.890322 
1 -0 
0.515949 0.856619 
0.511125 -0.859506 
0.516003 -0.856587 
1 -0 
0.546146 0.83769 
1 -0 
0.546957 0.83716 
0.517763 -0.855524 
0.49374 -0.86961 
1 -0 
0.547884 0.836554 
0.601521 0.798857 
0.455037 -0.890472 
-0.847732 -0.530426 
0 -1 
0.865016 -0.501745 
0 -1 
0.866236 -0.499634 
-0.860177 -0.509996 
-0.864113 -0.503298 
0 -1 
0.866411 -0.499331 
0 -1 
0.866284 -0.499552 
-0.865406 -0.501071 
-0.865834 -0.500332 
0 -1 
0.866163 -0.499762 
0 -1 
0.866101 -0.499869 
