+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 09-04-2019_14-56-10

	normalVector array

0 -1 
-1 -0 
0 -1 
-0.80016 -0.599787 
1 -0 
1 -0 
0.40291 -0.915239 
0 -1 
0.860753 -0.509022 
0.78835 0.615228 
0 -1 
-0.797688 -0.60307 
1 -0 
1 -0 
0.603089 -0.797674 
0 1 
0 1 
-1 -0 
-0.707107 -0.707107 
0 -1 
0.917703 -0.397267 
-0.817588 -0.575804 
0 -1 
0.89831 -0.439363 
0 -1 
0.870834 -0.491578 
-0.852391 -0.522905 
-0.863105 -0.505025 
0 -1 
0.862041 -0.506838 
0 -1 
0.864596 -0.502467 
-0.869223 -0.49442 
-0.872113 -0.489304 
0 -1 
0.867368 -0.497667 
0 -1 
0.867761 -0.496982 
-0.873133 -0.487482 
-0.875017 -0.484093 
0 -1 
0.867631 -0.497209 
0 -1 
0.86891 -0.49497 
-0.876485 -0.481429 
-0.873155 -0.487442 
0 -1 
0.871182 -0.49096 
0 -1 
0.876817 -0.480825 
-0.860432 -0.509565 
-0.851226 -0.524799 
0 -1 
0.895456 -0.445151 
0 -1 
0.924781 -0.380499 
-0.848052 -0.529913 
-0.833497 -0.552523 
0.965744 -0.259495 
0.024384 -0.999703 
1 -0 
0.810326 -0.58598 
1 -0 
0.653742 0.756718 
0.108327 -0.994115 
0.386898 -0.922123 
-0.573944 -0.818895 
1 -0 
0.627117 0.778925 
0.417974 -0.908459 
-0.845961 -0.533244 
0 -1 
0.865923 -0.500178 
0 -1 
0.867127 -0.498086 
-0.859233 -0.511584 
-0.863211 -0.504843 
0 -1 
0.866937 -0.498418 
0 -1 
0.866709 -0.498814 
-0.864988 -0.501793 
-0.865541 -0.500838 
0 -1 
0.866459 -0.499248 
0 -1 
0.866252 -0.499607 
-0.865854 -0.500298 
-0.866036 -0.499982 
0 -1 
0.866181 -0.49973 
0 -1 
0.866158 -0.499771 
-0.866094 -0.49988 
-0.866093 -0.499883 
0 -1 
0.866108 -0.499857 
0 -1 
0.866013 -0.500022 
-0.866043 -0.49997 
-0.866013 -0.500022 
0 -1 
0.865957 -0.500119 
0 -1 
0.866002 -0.50004 
-0.865957 -0.500119 
-0.865786 -0.500415 
0 -1 
0.865965 -0.500105 
0 -1 
0.865933 -0.500159 
-0.865748 -0.50048 
-0.865717 -0.500534 
0 -1 
0.865946 -0.500138 
0 -1 
0.865977 -0.500083 
-0.865729 -0.500513 
-0.865761 -0.500458 
0 -1 
0.866052 -0.499953 
0 -1 
