+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 24-05-2019_11-43-36

	ineled array

147 -320 
147 149 
149 -320 
84 -320 
84 86 
86 -320 
65 -320 
65 67 
67 -320 
16 -320 
16 355 
17 -320 
17 187 
187 355 
12 -320 
12 -320 
0 -320 
0 -320 
0 342 
1 -320 
1 342 
1 183 
171 -320 
171 183 
2 -320 
2 181 
171 181 
2 343 
172 -320 
172 343 
3 -320 
3 489 
172 489 
3 344 
173 -320 
173 344 
4 -320 
4 490 
173 490 
4 345 
174 -320 
174 345 
5 -320 
5 491 
174 491 
5 346 
175 -320 
175 346 
6 -320 
6 492 
175 492 
6 347 
176 -320 
176 347 
7 -320 
7 493 
176 493 
7 348 
177 -320 
177 348 
8 -320 
8 494 
177 494 
8 349 
178 -320 
178 349 
9 -320 
9 495 
178 495 
9 350 
179 -320 
179 350 
10 -320 
10 496 
179 496 
10 351 
180 -320 
180 351 
11 -320 
11 497 
180 497 
11 352 
182 -320 
182 352 
12 170 
170 646 
182 646 
13 -320 
13 170 
13 623 
184 -320 
184 623 
14 -320 
14 624 
184 624 
14 353 
185 -320 
185 353 
15 -320 
15 498 
185 498 
15 354 
186 -320 
186 354 
16 499 
186 499 
17 356 
188 -320 
188 356 
18 -320 
18 500 
188 500 
18 357 
189 -320 
189 357 
19 -320 
19 501 
189 501 
19 358 
190 -320 
190 358 
20 -320 
20 502 
190 502 
20 359 
191 -320 
191 359 
21 -320 
21 503 
191 503 
21 360 
192 -320 
192 360 
22 -320 
22 504 
192 504 
22 361 
193 -320 
193 361 
23 -320 
23 505 
193 505 
23 362 
194 -320 
194 362 
24 -320 
24 506 
194 506 
24 363 
195 -320 
195 363 
25 -320 
25 507 
195 507 
25 364 
196 -320 
196 364 
26 -320 
26 508 
196 508 
26 365 
197 -320 
197 365 
27 -320 
27 509 
197 509 
27 366 
198 -320 
198 366 
28 -320 
28 510 
198 510 
28 367 
199 -320 
199 367 
29 -320 
29 511 
199 511 
29 368 
200 -320 
200 368 
30 -320 
30 512 
200 512 
30 369 
201 -320 
201 369 
31 -320 
31 513 
201 513 
31 370 
202 -320 
202 370 
32 -320 
32 514 
202 514 
32 371 
203 -320 
203 371 
33 -320 
33 515 
203 515 
33 372 
204 -320 
204 372 
34 -320 
34 516 
204 516 
34 373 
205 -320 
205 373 
35 -320 
35 517 
205 517 
35 374 
206 -320 
206 374 
36 -320 
36 518 
206 518 
36 375 
207 -320 
207 375 
37 -320 
37 519 
207 519 
37 376 
208 -320 
208 376 
38 -320 
38 520 
208 520 
38 377 
209 -320 
209 377 
39 -320 
39 521 
209 521 
39 378 
210 -320 
210 378 
40 -320 
40 522 
210 522 
40 379 
211 -320 
211 379 
41 -320 
41 523 
211 523 
41 380 
212 -320 
212 380 
42 -320 
42 524 
212 524 
42 381 
213 -320 
213 381 
43 -320 
43 525 
213 525 
43 382 
214 -320 
214 382 
44 -320 
44 526 
214 526 
44 383 
215 -320 
215 383 
45 -320 
45 527 
215 527 
45 384 
216 -320 
216 384 
46 -320 
46 528 
216 528 
46 385 
217 -320 
217 385 
47 -320 
47 529 
217 529 
47 386 
218 -320 
218 386 
48 -320 
