+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 24-05-2019_16-48-45

	inpoed array

0 280 5 3 
0 459 0 0 
0 281 2 2 
1 161 3 2 
1 399 0 0 
1 162 5 3 
2 130 1 1 
2 383 0 0 
2 131 3 2 
3 35 1 1 
3 334 0 0 
3 36 1 1 
3 335 0 0 
3 493 0 0 
4 28 4 3 
4 29 1 1 
5 6 4 3 
5 319 2 2 
6 319 0 0 
6 7 4 3 
6 320 0 0 
7 320 0 0 
7 8 4 3 
7 479 0 0 
8 9 4 3 
8 321 0 0 
8 479 0 0 
9 321 0 0 
9 10 4 3 
9 480 0 0 
10 11 4 3 
10 322 0 0 
10 480 0 0 
11 322 0 0 
11 12 4 3 
11 481 0 0 
12 13 4 3 
12 323 0 0 
12 481 0 0 
13 323 0 0 
13 14 4 3 
13 482 0 0 
14 15 4 3 
14 324 0 0 
14 482 0 0 
15 324 0 0 
15 16 4 3 
15 483 0 0 
16 17 4 3 
16 325 0 0 
16 483 0 0 
17 325 0 0 
17 18 4 3 
17 484 0 0 
18 19 4 3 
18 326 0 0 
18 484 0 0 
19 326 0 0 
19 20 4 3 
19 485 0 0 
20 21 4 3 
20 327 0 0 
20 485 0 0 
21 327 0 0 
21 22 4 3 
21 486 0 0 
22 23 4 3 
22 328 0 0 
22 486 0 0 
23 328 0 0 
23 24 4 3 
23 487 0 0 
24 25 4 3 
24 329 0 0 
24 487 0 0 
25 329 0 0 
25 26 4 3 
25 488 0 0 
26 27 4 3 
26 330 0 0 
26 488 0 0 
27 330 0 0 
27 28 4 3 
27 489 0 0 
28 29 0 0 
28 331 0 0 
28 489 0 0 
29 30 1 1 
29 331 0 0 
30 331 0 0 
30 31 1 1 
30 490 0 0 
31 32 1 1 
31 332 0 0 
31 490 0 0 
32 332 0 0 
32 33 1 1 
32 491 0 0 
33 34 1 1 
33 333 0 0 
33 491 0 0 
34 333 0 0 
34 35 1 1 
34 492 0 0 
35 334 0 0 
35 492 0 0 
36 335 0 0 
36 37 1 1 
36 494 0 0 
37 38 1 1 
37 336 0 0 
37 494 0 0 
38 336 0 0 
38 39 1 1 
38 495 0 0 
39 40 1 1 
39 337 0 0 
39 495 0 0 
40 337 0 0 
40 41 1 1 
40 496 0 0 
41 42 1 1 
41 338 0 0 
41 496 0 0 
42 338 0 0 
42 43 1 1 
42 497 0 0 
43 44 1 1 
43 339 0 0 
43 497 0 0 
44 339 0 0 
44 45 1 1 
44 498 0 0 
45 46 1 1 
45 340 0 0 
45 498 0 0 
46 340 0 0 
46 47 1 1 
46 499 0 0 
47 48 1 1 
47 341 0 0 
47 499 0 0 
48 341 0 0 
48 49 1 1 
48 500 0 0 
49 50 1 1 
49 342 0 0 
49 500 0 0 
50 342 0 0 
50 51 1 1 
50 501 0 0 
51 52 1 1 
51 343 0 0 
51 501 0 0 
52 343 0 0 
52 53 1 1 
52 502 0 0 
53 54 1 1 
53 344 0 0 
53 502 0 0 
54 344 0 0 
54 55 1 1 
54 503 0 0 
55 56 1 1 
55 345 0 0 
55 503 0 0 
56 345 0 0 
56 57 1 1 
56 504 0 0 
57 58 1 1 
57 346 0 0 
57 504 0 0 
58 346 0 0 
58 59 1 1 
58 505 0 0 
59 60 1 1 
59 347 0 0 
59 505 0 0 
60 347 0 0 
60 61 1 1 
60 506 0 0 
61 62 1 1 
61 348 0 0 
61 506 0 0 
62 348 0 0 
62 63 1 1 
62 507 0 0 
63 64 1 1 
63 349 0 0 
63 507 0 0 
64 349 0 0 
64 65 1 1 
64 508 0 0 
65 66 1 1 
65 350 0 0 
65 508 0 0 
66 350 0 0 
66 67 1 1 
66 509 0 0 
67 68 1 1 
67 351 0 0 
67 509 0 0 
68 351 0 0 
68 69 1 1 
68 510 0 0 
69 70 1 1 
69 352 0 0 
69 510 0 0 
70 352 0 0 
70 71 1 1 
70 511 0 0 
71 72 1 1 
71 353 0 0 
71 511 0 0 
72 353 0 0 
72 73 1 1 
72 512 0 0 
73 74 1 1 
73 354 0 0 
73 512 0 0 
74 354 0 0 
74 75 1 1 
74 513 0 0 
75 76 1 1 
75 355 0 0 
75 513 0 0 
76 355 0 0 
76 77 1 1 
76 514 0 0 
77 78 1 1 
77 356 0 0 
