+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 18-03-2019_23-21-08

	normalVector array

-7.94015e-13 1 
0.60559 -0.795777 
-0.998796 -0.049065 
0.60559 0.795777 
-0.998796 0.049065 
3.17601e-14 1 
-0.437638 -0.899151 
0.998796 -0.0490648 
0.437638 -0.899151 
0.998796 0.0490648 
-1 -1.73408e-13 
0.795777 0.60559 
-0.795777 0.60559 
-0.049065 -0.998796 
0.049065 -0.998796 
-1 -1.18135e-13 
0.899151 -0.437638 
0.0490648 0.998796 
0.899151 0.437638 
-0.0490648 0.998796 
0.0490648 -0.998796 
0.899151 -0.437638 
-0.0490648 -0.998796 
-0.899151 -0.437638 
1 -1.18421e-13 
-0.049065 0.998796 
0.795777 0.60559 
1 -1.70446e-13 
0.795777 -0.60559 
0.049065 0.998796 
1.84118e-13 1 
-0.60559 -0.795777 
0.998796 -0.049065 
0.998796 0.049065 
0.60559 -0.795777 
-0.998796 -0.0490648 
-0.437638 -0.899151 
-0.998796 0.0490648 
-0.437638 0.899151 
1.32097e-13 1 
-0.57787 -0.816129 
0 1 
0.580589 -0.814197 
-0.998795 0.04907 
0.57787 -0.816129 
-0.998795 -0.04907 
0.580589 0.814197 
-0.554569 -0.832138 
0 1 
0.558957 -0.829197 
-0.998797 0.0490459 
0.554569 -0.832138 
-0.998797 -0.0490459 
0.558957 0.829197 
-0.534392 -0.845237 
0 1 
0.540447 -0.841378 
-0.998795 0.0490754 
0.534392 -0.845237 
-0.998795 -0.0490754 
0.540447 0.841378 
-0.51715 -0.855895 
0 1 
0.524725 -0.851272 
-0.998797 0.0490419 
0.51715 -0.855895 
-0.998797 -0.0490419 
0.524725 0.851272 
-0.502508 -0.864573 
0 1 
0.511498 -0.859285 
-0.998796 0.0490618 
0.502508 -0.864573 
-0.998796 -0.0490618 
0.511498 0.859285 
-0.490172 -0.871625 
0 1 
0.50043 -0.865777 
-0.998795 0.049082 
0.490172 -0.871625 
-0.998795 -0.049082 
0.50043 0.865777 
-0.479854 -0.877348 
0 1 
0.491194 -0.87105 
-0.998796 0.0490615 
0.479854 -0.877348 
-0.998796 -0.0490615 
0.491194 0.87105 
-0.471252 -0.881999 
0 1 
0.483522 -0.875332 
-0.998796 0.0490652 
0.471252 -0.881999 
-0.998796 -0.0490652 
0.483522 0.875332 
-0.464109 -0.885778 
0 1 
0.477179 -0.878806 
-0.998795 0.049072 
0.464109 -0.885778 
-0.998795 -0.049072 
0.477179 0.878806 
-0.458175 -0.888862 
0 1 
0.471939 -0.881631 
-0.998796 0.0490603 
0.458175 -0.888862 
-0.998796 -0.0490603 
0.471939 0.881631 
-0.453324 -0.891346 
0 1 
0.467599 -0.883941 
-0.998796 0.0490536 
0.453324 -0.891346 
-0.998796 -0.0490536 
0.467599 0.883941 
-0.449287 -0.893387 
0 1 
0.46405 -0.885809 
-0.998796 0.049051 
0.449287 -0.893387 
-0.998796 -0.049051 
0.46405 0.885809 
-0.445951 -0.895057 
0 1 
0.461141 -0.887327 
-0.998794 0.0491004 
0.445951 -0.895057 
-0.998794 -0.0491004 
0.461141 0.887327 
-0.443223 -0.896411 
0 1 
0.458732 -0.888575 
-0.998795 0.0490706 
0.443223 -0.896411 
-0.998795 -0.0490706 
0.458732 0.888575 
-0.440983 -0.897516 
0 1 
0.456767 -0.889586 
-0.998794 0.0490877 
0.440983 -0.897516 
-0.998794 -0.0490877 
0.456767 0.889586 
-0.439151 -0.898413 
0.455144 -0.890418 
-0.998796 0.049056 
0.439151 -0.898413 
-0.998796 -0.049056 
0.455144 0.890418 
-0.0980203 0.995184 
0.680676 -0.732584 
0.524676 0.851302 
-0.989176 -0.146736 
-0.195089 0.980786 
0.749193 -0.662352 
0.438706 0.89863 
-0.970031 -0.242982 
-0.290288 0.956939 
0.810511 -0.585723 
0.348505 0.937307 
-0.941547 -0.336882 
-0.382688 0.923877 
